アフターシェーブローション	after|shave|lotion	AE1_F_T_ER0|SH_EY1_V|L_OW1_SH_AH0_N
セレナーデ	serenade	S_EH2_R_AH0_N_EY1_D
セレナード	serenade	S_EH2_R_AH0_N_EY1_D
セレナード	serenade	S_EH2_R_AH0_N_EY1_D
ソテー	saute	S_AO0_T_EY1
タレント	talent	T_AE1_L_AH0_N_T
タンポン	tampon	T_AE1_M_P_AA0_N
ダル	dal	D_AE1_L
ダール	dal	D_AE1_L
ダイヤ	diagram	D_AY1_AH0_G_R_AE2_M
ダイア	diagram	D_AY1_AH0_G_R_AE2_M
チタン	titan	T_AY1_T_AH0_N
テーゼ	these	DH_IY1_Z
ティンパニ	timpani	T_IH1_M_P_AH0_N_IY2
ティンパニー	timpani	T_IH1_M_P_AH0_N_IY2
ディスコテーク	discotheque	D_IH1_S_K_OW0_T_EH2_K
ディスポーザー	disposer	D_IH0_S_P_OW1_Z_ER0
デカダン	decadent	D_EH1_K_AH0_D_AH0_N_T
デカダンス	decadence	D_EH1_K_AH0_D_AH0_N_S
デタント	detente	D_EY0_T_AA1_N_T
デビュー	debut	D_EY0_B_Y_UW1
デビュウ	debut	D_EY0_B_Y_UW1
デビュタント	debutante	D_EH1_B_Y_AH0_T_AA1_N_T
デブリ	debris	D_AH0_B_R_IY1
デポ	depot	D_IY1_P_OW0
デポー	depot	D_IY1_P_OW0
トラバーユ	travail	T_R_AH0_V_EY1_L
トランプ	trump	T_R_AH1_M_P
トレーナー	trainer	T_R_EY1_N_ER0
トレイナー	trainer	T_R_EY1_N_ER0
トロイカ	troyka	T_R_OY1_K_AH0
トロッコ	truck	T_R_AH1_K
ドクター	doctor	D_AA1_K_T_ER0
ドクター	doktor	D_AA1_K_T_ER0
ドクトル	doctor	D_AA1_K_T_ER0
ドクトル	doktor	D_AA1_K_T_ER0
ドリア	doria	D_AO1_R_IY0_AH0
ドーリア	doria	D_AO1_R_IY0_AH0
ドルチェ	dolce	D_OW1_L_CH_EY2
ナイーブ	naive	N_AY2_IY1_V
ナイーヴ	naive	N_AY2_IY1_V
ナイター	nighter	N_AY1_T_ER0
ナイン	nein	N_IY1_N
ナルシス	narcisse	N_AA1_R_S_IH0_S
ヌーベル	nouvelle	N_UW2_V_EH1_L
ヌーヴェル	nouvelle	N_UW2_V_EH1_L
ヌーボー	nouveau	N_UW2_V_OW1
ヌーヴォー	nouveau	N_UW2_V_OW1
ヌーヴォ	nouveau	N_UW2_V_OW1
ネベ	neve	N_IY1_V
ノイロン	neuron	N_UH1_R_AA0_N
ノエル	noel	N_OW0_EH1_L
ハイム	heim	HH_AY1_M
ハイル	heil	HH_AY1_L
ハツ	hearts	HH_AA1_R_T_S
バスター	bastard	B_AE1_S_T_ER0_D
パック	pack	P_AE1_K
パップ	pap	P_AE1_P
ハップ	pap	P_AE1_P
パプリカ	paprika	P_AE0_P_R_IY1_K_AH0
パン	pao	P_AW1
パン	pan	P_AE1_N
ヒアリング	hearing	HH_IY1_R_IH0_NG
ヒヤリング	hearing	HH_IY1_R_IH0_NG
ヒレ	filet	F_IH0_L_EY1
フィレ	filet	F_IH0_L_EY1
フィレー	filet	F_IH0_L_EY1
ビス	vis	V_IH1_S
ビス	bis	B_IH1_S
ピアス	pierce	P_IH1_R_S
ピッケル	pickel	P_IH1_K_AH0_L
ピューレ	puree	P_Y_UH0_R_EY1
ピュレ	puree	P_Y_UH0_R_EY1
ピン	pinta	P_IH1_N_T_AH0
ファサード	facade	F_AH0_S_AA1_D
フェミニスト	feminist	F_EH1_M_AH0_N_IH0_S_T
フラウ	frau	F_R_AW1
フラスコ	frasco	F_R_AA1_S_K_OW0
フレスコ	frasco	F_R_AA1_S_K_OW0
フランセ	francais	F_R_AA0_N_S_EY1
ブリュッセル	bruxelles	B_R_AH0_K_S_EH1_L_AH0_S
ブリュッセル	brussel	B_R_AH1_S_AH0_L
ブンド	bund	B_AH1_N_D
プチ	petit	P_EH1_T_IY0
プランタン	printemps	P_R_IH1_N_T_EH0_M_P_S
プリンタン	printemps	P_R_IH1_N_T_EH0_M_P_S
プルス	puls	P_UH1_L_Z
プロレタリアート	proletariat	P_R_OW2_L_AH0_T_EH1_R_IY0_AH0_T
ベルグ	berg	B_ER1_G
ベレー	beret	B_EH1_R_AH0_T
ホース	hoos	HH_UW1_Z
ボーゲン	bogen	B_AA1_G_AH0_N
ボン	bon	B_AA1_N
ボンジュール	bonjour	B_AH0_N_ZH_UH1_R
ポップス	pops	P_AA1_P_S
ポリス	polis	P_OW1_L_AH0_S
ポンド	pond	P_AA1_N_D
ポンド	pond	P_AA1_N_D
ポンプ	pomp	P_AA1_M_P
マイラー	miler	M_AY1_L_ER0
マチネ	matinee	M_AE1_T_IH0_N_EY2
マチネー	matinee	M_AE1_T_IH0_N_EY2
マリネ	marine	M_ER0_IY1_N
マロン	marron	M_EH1_R_AH0_N
マンション	mansion	M_AE1_N_SH_AH0_N
ミクロ	micro	M_AY1_K_R_OW2
ミス	miss	M_IH1_S
ミンチ	mince	M_IH1_N_S
メンチ	mince	M_IH1_N_S
ムーチョ	mucho	M_UW1_CH_OW0
ムーディー	moody	M_UW1_D_IY0
ムーディ	moody	M_UW1_D_IY0
ムートン	mouton	M_UW1_T_AO0_N
ムトン	mouton	M_UW1_T_AO0_N
ムック	mook	M_UH1_K
メゾン	maison	M_EY1_Z_AH0_N
メタモルフォーゼ	metamorphose	M_EH2_T_AH0_M_AO1_R_F_OW0_Z
メッシュ	meche	M_EH1_CH
メシュ	meche	M_EH1_CH
メトロ	metro	M_EH1_T_R_OW2
メルシー	merci	M_ER0_S_IY1
メンス	menstruation	M_EH2_N_S_T_R_UW0_EY1_SH_AH0_N
モード	mode	M_OW1_D
ヤンマ	jammer	JH_AE1_M_ER0
ラーゲ	lage	L_EY1_JH
ランチエ	rentier	R_EH1_T_IY2_ER0
リート	lied	L_AY1_D
リード	lied	L_AY1_D
リーベ	liebe	L_IY1_B
リス	riss	R_IH1_S
リフォーム	reform	R_AH0_F_AO1_R_M
リンチ	lynch	L_IH1_N_CH
ルンゲ	lunge	L_AH1_N_JH
レーヨン	rayon	R_EY1_AH0_N
レイヨン	rayon	R_EY1_AH0_N
レジスタンス	resistance	R_IH0_Z_IH1_S_T_AH0_N_S
レジュメ	resume	R_IH0_Z_UW1_M
レジメ	resume	R_IH0_Z_UW1_M
レッテル	letter	L_EH1_T_ER0
ロイヤル	royale	R_OY0_AE1_L
ロワイヤル	royale	R_OY0_AE1_L
ローヤル	royale	R_OY0_AE1_L
ロザリオ	rosario	R_OW0_Z_AA1_R_IY0_OW0
ロマン	roman	R_OW1_M_AH0_N
ローマン	roman	R_OW1_M_AH0_N
ポルダー	polder	P_OW1_L_D_ER0
カチューシャ	katyusha	K_AH0_T_Y_UW1_SH_AH0
カイゼル	kaiser	K_AY1_Z_ER0
カイザー	kaiser	K_AY1_Z_ER0
ウエス	waste	W_EY1_S_T
ウェス	waste	W_EY1_S_T
カステン	kasten	K_AE1_S_T_AH0_N
モバイラー	mobiler	M_OW1_B_IH0_L_ER0
ウェイティング	waiting	W_EY1_T_IH0_NG
ウエイティング	waiting	W_EY1_T_IH0_NG
ウェーティング	waiting	W_EY1_T_IH0_NG
ウエーティング	waiting	W_EY1_T_IH0_NG
ギヤマン	diamant	D_AY1_AH0_M_AH0_N_T
コロップ	prop	P_R_AA1_P
ホッピング	hopping	HH_AA1_P_IH0_NG
ラムネ	lemonade	L_EH1_M_AH0_N_EY1_D
オービス	orbis	AO1_R_B_IH0_S
ウインナー	wiener	W_IY1_N_ER0
ウィンナー	wiener	W_IY1_N_ER0
ウィンナ	wiener	W_IY1_N_ER0
ウインナ	wiener	W_IY1_N_ER0
クレンメ	klemme	K_L_EH1_M
プロバイダー	provider	P_R_AH0_V_AY1_D_ER0
プロバイダ	provider	P_R_AH0_V_AY1_D_ER0
タコス	tacos	T_AA1_K_OW0_Z
スモーガスボード	smorgasbord	S_M_AO1_R_G_AH0_S_B_AO2_R_D
スモガスボード	smorgasbord	S_M_AO1_R_G_AH0_S_B_AO2_R_D
タラップ	trap	T_R_AE1_P
ノルマ	norma	N_AO1_R_M_AH0
カートン	carton	K_AA1_R_T_AH0_N
カルトン	carton	K_AA1_R_T_AH0_N
ダックスフント	dachshund	D_AA1_K_S_HH_UH2_N_D
ダックスフンド	dachshund	D_AA1_K_S_HH_UH2_N_D
クレソン	cresson	K_R_EH1_S_AH0_N
タルト	tarte	T_AA1_R_T
パトローネ	patrone	P_AA0_T_R_OW1_N_IY0
クレオール	creole	K_R_IY1_OW0_L
モル	mol	M_AO1_L
ファトワ	fatwa	F_AA1_T_W_AA0
ファトワー	fatwa	F_AA1_T_W_AA0
ファトゥワ	fatwa	F_AA1_T_W_AA0
ウォルフラム	wolfram	W_UH1_L_F_R_AE2_M
サービサー	servicer	S_ER1_V_IH0_S_ER0
カルスト	karst	K_AA1_R_S_T
オナカップ	cup	K_AH1_P
アゲーン	again	AH0_G_EH1_N
アゲイン	again	AH0_G_EH1_N
アゲン	again	AH0_G_EH1_N
ヴィオール	viole	V_AY2_OW1_L
ビオール	viole	V_AY2_OW1_L
ヴィオル	viole	V_AY2_OW1_L
ビオル	viole	V_AY2_OW1_L
ポアソン	poisson	P_OY1_Z_S_AH0_N
ポワソン	poisson	P_OY1_Z_S_AH0_N
フェスタ	festa	F_EH1_S_T_AH0
テロル	terror	T_EH1_R_ER0
ツァイトガイスト	zeitgeist	T_S_AY1_T_G_AY2_S_T
ザック	sack	S_AE1_K
メイキング	making	M_EY1_K_IH0_NG
メーキング	making	M_EY1_K_IH0_NG
フューラー	fuhrer	F_UH1_R_ER0
ワルキューレ	walkure	W_AO1_K_Y_ER0
ヴァルキューレ	walkure	W_AO1_K_Y_ER0
ヴァルキュリヤ	walkure	W_AO1_K_Y_ER0
ワルキュリエ	walkure	W_AO1_K_Y_ER0
レジスト	resist	R_IH0_Z_IH1_S_T
ボランチ	volante	V_OW0_L_AA1_N_T_EY0
パーテル	pater	P_EY1_T_ER0
メリッサ	melissa	M_AH0_L_IH1_S_AH0
マイスター	meister	M_AY1_S_T_ER0
ネーデルラント	nederland	N_EH1_D_ER0_L_AH0_N_D
ネーデルランド	nederland	N_EH1_D_ER0_L_AH0_N_D
ネザーランド	nederland	N_EH1_D_ER0_L_AH0_N_D
バーン	bahn	B_AE1_N
カードル	cadre	K_AE1_D_R_IY0
アンガージュマン	engagement	EH0_N_G_EY1_JH_M_AH0_N_T
カミン	kamin	K_AA1_M_IY0_N
リフティング	lifting	L_IH1_F_T_IH0_NG
ヒイデス	fides	F_AY1_D_Z
ヒーデス	fides	F_AY1_D_Z
アラザン	argent	AA1_R_JH_IH0_N_T
キルシュ	kirsch	K_ER1_SH
クルップ	krupp	K_R_AH1_P
ソレイユ	soleil	S_OW0_L_EY1_L
ブロム	brom	B_R_AA1_M
シリング	schilling	SH_IH1_L_IH0_NG
ドミンゴ	domingo	D_OW0_M_IH1_NG_G_OW0
ムンプス	mumps	M_AH1_M_P_S
シュナウザー	schnauzer	SH_N_AW1_Z_ER0
シュナウツァー	schnauzer	SH_N_AW1_Z_ER0
ビオチン	biotin	B_AY1_AH0_T_AH0_N
シアナミド	cyanamid	S_AY0_AE1_N_AH0_M_IH0_D
ターフル	tafel	T_AE1_F_AH0_L
ポンス	pons	P_AA1_N_Z
リンデンバウム	lindenbaum	L_AY1_N_D_AH0_N_B_AW0_M
ジンゲル	singer	S_IH1_NG_ER0
マリア	maria	M_ER0_IY1_AH0
ヴィー	vie	V_AY1
アルバイター	arbeiter	AA1_R_B_AY0_T_ER0
フォー	pho	F_OW1
ノルマル	normal	N_AO1_R_M_AH0_L
ゾル	sol	S_AA1_L
リンデン	linden	L_IH1_N_D_AH0_N
チーマー	teamer	T_IY1_M_ER0
マーラ	mara	M_AA1_R_AH0
イドラ	idola	IH2_D_OW1_L_AH0
アートマン	atman	AE1_T_M_AH0_N
ディアマン	diamant	D_AY1_AH0_M_AH0_N_T
アンファン	enfant	EH1_N_F_AA2_N_T
ラテ	ratte	R_AE1_T
ラッテ	ratte	R_AE1_T
ドイチュラント	deutschland	D_OY1_CH_L_AE0_N_D
ドイチュランド	deutschland	D_OY1_CH_L_AE0_N_D
グラシアス	gracias	G_R_AA1_S_IY0_AH0_Z
ビアンコ	bianco	B_IY0_AA1_NG_K_OW0
ロッソ	rosso	R_OW1_S_OW0
ウリ	uli	Y_UW1_L_IY0
マンテル	mantel	M_AE1_N_T_AH0_L
ドミニカ	dominica	D_AH0_M_IH1_N_IH0_K_AH0
シュトーレン	stollen	S_T_AA1_L_AH0_N
シュトレン	stollen	S_T_AA1_L_AH0_N
イスパニア	espana	EH0_S_P_AE1_N_Y_AH0
エスパーニャ	espana	EH0_S_P_AE1_N_Y_AH0
エスパニア	espana	EH0_S_P_AE1_N_Y_AH0
バーラト	bharat	B_AA1_R_AA2_T
ビール	bier	B_IY1_R
ビア	bier	B_IY1_R
ビヤ	bier	B_IY1_R
ビヤー	bier	B_IY1_R
ビーア	bier	B_IY1_R
ビアー	bier	B_IY1_R
エコール	ecole	IH0_K_OW1_L
ラッタル	leiter	L_AY1_T_ER0
ベンティ	venti	V_EH1_N_T_IY0
アミーゴ	amigo	AH0_M_IY1_G_OW2
アミゴ	amigo	AH0_M_IY1_G_OW2
エルミン	hermine	HH_ER1_M_IH0_N
グルニエ	grenier	G_R_IY1_N_IY0_ER0
コミサリー	commissary	K_AA1_M_AH0_S_EH2_R_IY0
セーハ	ceja	S_EY1_Y_AH0
セミナリヨ	seminario	S_EH2_M_IH0_N_EH1_R_IY0_OW0
セミナリオ	seminario	S_EH2_M_IH0_N_EH1_R_IY0_OW0
テアトル	theatre	TH_IY1_AH0_T_ER0
テアトロ	teatro	T_IY1_T_R_OW0
ノワール	noir	N_OY1_R
プルーク	pflug	F_L_UW1_G
マーシュ	mache	M_AE1_CH
ロストル	rooster	R_UW1_S_T_ER0
ディッシャー	disher	D_IH1_SH_ER0
ラウンダー	rounder	R_AW1_N_D_ER0
バブリー	bubbly	B_AH1_B_L_IY0
ナビ	nabi	N_AA1_B_IY2
ナービー	nabi	N_AA1_B_IY2
ナビー	nabi	N_AA1_B_IY2
アモーレ	amore	AA1_M_AO0_R
ピンズ	pins	P_IH1_N_Z
ヒートン	piton	P_IY1_T_AO2_N
スキットル	skittle	S_K_IH1_T_AH0_L
ギロピタ	gyros	JH_AY1_R_OW2_Z
ギロピタ	pita	P_IY1_T_AH0
ギロス	gyros	JH_AY1_R_OW2_Z
トーカブル	talkable	T_AO1_K_AH0_B_AH0_L
テト	tet	T_EH1_T
パッパ	papa	P_AA1_P_AH2
パーパ	papa	P_AA1_P_AH2
コンパニア	companhia	K_AH0_M_P_AE1_NG_Y_AA2
コンパニヤ	companhia	K_AH0_M_P_AE1_NG_Y_AA2
サントス	santos	S_AE1_N_T_OW0_S
ナタル	natal	N_EY1_T_AH0_L
ロリータ	lolita	L_OW0_L_IY1_T_AH0
サッツ	satz	S_AE1_T_S
ザッツ	satz	S_AE1_T_S
ホテリエ	hotelier	HH_OW0_T_EH1_L_Y_ER0
サーベル	sabel	S_AA0_B_EH1_L
コロネ	cornet	K_AO0_R_N_EH1_T
コルネ	cornet	K_AO0_R_N_EH1_T
ボーノ	buono	B_W_OW1_N_OW0
レイパー	raper	R_EY1_P_ER0
ミート	meet	M_IY1_T
マスト	must	M_AH1_S_T
パー	per	P_ER1
ベット	bett	B_EH1_T
サボン	savon	S_EY1_V_AO0_N
ノン	non	N_AA1_N
ナチス	nazis	N_AA1_T_S_IY0_Z
フモール	humor	HH_Y_UW1_M_ER0
バット	vat	V_AE1_T
コロニア	colonia	K_AH0_L_OW1_N_IY0_AH0
バス	bass	B_AE1_S
レーシー	racy	R_EY1_S_IY0
アバン	avant	AH0_V_AA1_N_T
アヴァン	avant	AH0_V_AA1_N_T
ドレッジ	dredge	D_R_EH1_JH
キャッシング	cashing	K_AE1_SH_IH0_NG
ダン	down	D_AW1_N
ドン	dong	D_AO1_NG
アーカイブ	archive	AA1_R_K_AY2_V
アーカイヴ	archive	AA1_R_K_AY2_V
アーガイル	argyle	AA1_R_G_AY2_L
アーガル	argyle	AA1_R_G_AY2_L
アーキテクチャ	architecture	AA1_R_K_AH0_T_EH2_K_CH_ER0
アーキテクチャー	architecture	AA1_R_K_AH0_T_EH2_K_CH_ER0
アーキテクチュア	architecture	AA1_R_K_AH0_T_EH2_K_CH_ER0
アキテクチャ	architecture	AA1_R_K_AH0_T_EH2_K_CH_ER0
アーギュメント	argument	AA1_R_G_Y_AH0_M_AH0_N_T
アーク	arc	AA1_R_K
アーケード	arcade	AA0_R_K_EY1_D
アーケイド	arcade	AA0_R_K_EY1_D
アース	earth	ER1_TH
アーチ	arch	AA1_R_CH
アーチェリー	archery	AA1_R_CH_ER0_IY0
アーチェリ	archery	AA1_R_CH_ER0_IY0
アーチザン	artisan	AA1_R_T_IH0_Z_AH0_N
アーティスト	artist	AA1_R_T_IH0_S_T
アーチスト	artist	AA1_R_T_IH0_S_T
アーティスツ	artist	AA1_R_T_IH0_S_T
アーティファクト	artifact	AA1_R_T_AH0_F_AE2_K_T
アーチファクト	artifact	AA1_R_T_AH0_F_AE2_K_T
アーティクル	article	AA1_R_T_AH0_K_AH0_L
アーテクル	article	AA1_R_T_AH0_K_AH0_L
アーティフィシャル	artificial	AA2_R_T_AH0_F_IH1_SH_AH0_L
アーテフィシャル	artificial	AA2_R_T_AH0_F_IH1_SH_AH0_L
アーデント	ardent	AA1_R_D_AH0_N_T
アート	art	AA1_R_T
アーバン	urban	ER1_B_AH0_N
アービタ	arbiter	AA1_R_B_IH0_T_ER0
アビタ	arbiter	AA1_R_B_IH0_T_ER0
アービトレーション	arbitration	AA2_R_B_IH0_T_R_EY1_SH_AH0_N
アーミー	army	AA1_R_M_IY0
アーミィ	army	AA1_R_M_IY0
アーム	arm	AA1_R_M
アームチェア	armchair	AA1_R_M_CH_EH2_R
アームチェアー	armchair	AA1_R_M_CH_EH2_R
アーメン	amen	EY0_M_EH1_N
エイメン	amen	EY0_M_EH1_N
アーモンド	almond	AA1_M_AH0_N_D
アモンド	almond	AA1_M_AH0_N_D
アイアン	iron	AY1_ER0_N
アイコン	icon	AY1_K_AA0_N
アイシェード	eyeshade	AY1_SH_EY2_D
アイシング	icing	AY1_S_IH0_NG
アイスボックス	icebox	AY1_S_B_AA2_K_S
アイスバックス	icebox	AY1_S_B_AA2_K_S
アイソトープ	isotope	AY1_S_AH0_T_OW2_P
アイソトニック	isotonic	AY2_S_AH0_T_AA1_N_IH0_K
アイソレーション	isolation	AY2_S_AH0_L_EY1_SH_AH0_N
アイテム	item	AY1_T_AH0_M
アイタム	item	AY1_T_AH0_M
アイデア	idea	AY0_D_IY1_AH0
アイディア	idea	AY0_D_IY1_AH0
アィディア	idea	AY0_D_IY1_AH0
イデアリズム	idealism	AY0_D_IY1_L_IH0_Z_AH0_M
アイデアリズム	idealism	AY0_D_IY1_L_IH0_Z_AH0_M
アイディアリズム	idealism	AY0_D_IY1_L_IH0_Z_AH0_M
アイディアル	ideal	AY0_D_IY1_L
アイデアル	ideal	AY0_D_IY1_L
イデアリスト	idealist	AY0_D_IY1_L_IH0_S_T
アイディアリスト	idealist	AY0_D_IY1_L_IH0_S_T
アイデアリスト	idealist	AY0_D_IY1_L_IH0_S_T
アイデンティティ	identity	AY0_D_EH1_N_T_AH0_T_IY2
アイデンティティー	identity	AY0_D_EH1_N_T_AH0_T_IY2
アイデンテティ	identity	AY0_D_EH1_N_T_AH0_T_IY2
アイデンティファイ	identify	AY0_D_EH1_N_T_AH0_F_AY2
アイデンテファイ	identify	AY0_D_EH1_N_T_AH0_F_AY2
アイデンティフィケーション	identification	AY0_D_EH2_N_T_AH0_F_AH0_K_EY1_SH_AH0_N
アイデンテフィケイション	identification	AY0_D_EH2_N_T_AH0_F_AH0_K_EY1_SH_AH0_N
アイデンティフケイション	identification	AY0_D_EH2_N_T_AH0_F_AH0_K_EY1_SH_AH0_N
アイドリング	idling	AY1_D_AH0_L_IH0_NG
アイヌ	ainu	EY1_N_UW2
アイノ	ainu	EY1_N_UW2
アイブロー	eyebrow	AY1_B_R_AW2
アイブラウ	eyebrow	AY1_B_R_AW2
アイブロウ	eyebrow	AY1_B_R_AW2
アイボリー	ivory	AY1_V_ER0_IY0
アイヴォリー	ivory	AY1_V_ER0_IY0
アイボリ	ivory	AY1_V_ER0_IY0
アイリス	iris	AY1_R_AH0_S
アイロニー	irony	AY1_R_AH0_N_IY0
イロニー	irony	AY1_R_AH0_N_IY0
アイロニカル	ironical	AY0_R_AA1_N_IH0_K_AH0_L
アイロン	iron	AY1_ER0_N
アウストラロピテクス	australopithecus	AO0_S_T_R_EY2_L_OW0_P_IH1_TH_AH0_K_AH0_S
オーストラロピテクス	australopithecus	AO0_S_T_R_EY2_L_OW0_P_IH1_TH_AH0_K_AH0_S
アウター	outer	AW1_T_ER0
アウタ	outer	AW1_T_ER0
アウトサイダー	outsider	AW0_T_S_AY1_D_ER0
アウトスタンディング	outstanding	AW2_T_S_T_AE1_N_D_IH0_NG
アウトドア	outdoor	AW1_T_D_AO2_R
アウトドアー	outdoor	AW1_T_D_AO2_R
アウトバック	outback	AW1_T_B_AE2_K
アウトプット	output	AW1_T_P_UH2_T
アウトライン	outline	AW1_T_L_AY2_N
アウトゥライン	outline	AW1_T_L_AY2_N
アウトレット	outlet	AW1_T_L_EH2_T
アウトゥレット	outlet	AW1_T_L_EH2_T
アウトロー	outlaw	AW1_T_L_AO2
アウラ	aura	AO1_R_AH0
アカウンタビリティ	accountability	AH0_K_AW1_N_T_AH0_B_IH2_L_IH0_T_IY0
アカウンタビリティー	accountability	AH0_K_AW1_N_T_AH0_B_IH2_L_IH0_T_IY0
アカウンティング	accounting	AH0_K_AW1_N_T_IH0_NG
アカウント	account	AH0_K_AW1_N_T
アカシア	acacia	AH0_K_EY1_SH_AH0
アカシヤ	acacia	AH0_K_EY1_SH_AH0
アケイシャ	acacia	AH0_K_EY1_SH_AH0
アカデミー	academy	AH0_K_AE1_D_AH0_M_IY0
アキャデミィ	academy	AH0_K_AE1_D_AH0_M_IY0
アカデミシャン	academician	AE2_K_AH0_D_AH0_M_IH1_SH_AH0_N
アカデミック	academic	AE2_K_AH0_D_EH1_M_IH0_K
アキュムレータ	accumulator	AH0_K_Y_UW1_M_Y_AH0_L_EY2_T_ER0
アキュムレーター	accumulator	AH0_K_Y_UW1_M_Y_AH0_L_EY2_T_ER0
アキュームレータ	accumulator	AH0_K_Y_UW1_M_Y_AH0_L_EY2_T_ER0
アコースティック	acoustic	AH0_K_UW1_S_T_IH0_K
アクースティック	acoustic	AH0_K_UW1_S_T_IH0_K
アコウスティック	acoustic	AH0_K_UW1_S_T_IH0_K
アクアノート	aquanaut	AA1_K_W_AH0_N_AA2_T
アクアマリン	aquamarine	AA2_K_W_AH0_M_ER0_IY1_N
アクアマリーン	aquamarine	AA2_K_W_AH0_M_ER0_IY1_N
アクアラング	aqualung	AE1_K_W_AH0_L_AH0_NG
アクシデント	accident	AE1_K_S_AH0_D_AH0_N_T
アクション	action	AE1_K_SH_AH0_N
アクセサリー	accessory	AE0_K_S_EH1_S_ER0_IY0
アクセサリ	accessory	AE0_K_S_EH1_S_ER0_IY0
アクセス	access	AE1_K_S_EH2_S
アクセッシング	accessing	AE1_K_S_EH2_S_IH0_NG
アクセプタンス	acceptance	AE0_K_S_EH1_P_T_AH0_N_S
アクセプト	accept	AE0_K_S_EH1_P_T
アクセル	accelerator	AE0_K_S_EH1_L_ER0_EY2_T_ER0
アクセラレータ	accelerator	AE0_K_S_EH1_L_ER0_EY2_T_ER0
アクセレレーター	accelerator	AE0_K_S_EH1_L_ER0_EY2_T_ER0
アクセラレーター	accelerator	AE0_K_S_EH1_L_ER0_EY2_T_ER0
アクセルレータ	accelerator	AE0_K_S_EH1_L_ER0_EY2_T_ER0
アクセント	accent	AH0_K_S_EH1_N_T
アクター	actor	AE1_K_T_ER0
アクタ	actor	AE1_K_T_ER0
アクチュアリティー	actuality	AE2_K_CH_UW0_AE1_L_AH0_T_IY2
アクチュアル	actual	AE1_K_CH_AH0_W_AH0_L
アクチャル	actual	AE1_K_CH_AH0_W_AH0_L
アクティビティ	activity	AE0_K_T_IH1_V_IH0_T_IY0
アクティビティー	activity	AE0_K_T_IH1_V_IH0_T_IY0
アクティヴィティ	activity	AE0_K_T_IH1_V_IH0_T_IY0
アクテビティ	activity	AE0_K_T_IH1_V_IH0_T_IY0
アクティヴィティー	activity	AE0_K_T_IH1_V_IH0_T_IY0
アクテビティー	activity	AE0_K_T_IH1_V_IH0_T_IY0
アクティブ	active	AE1_K_T_IH0_V
アクティヴ	active	AE1_K_T_IH0_V
アクチブ	active	AE1_K_T_IH0_V
アクティベーション	activation	AE2_K_T_AH0_V_EY1_SH_AH0_N
アクトレス	actress	AE1_K_T_R_AH0_S
アクトゥレス	actress	AE1_K_T_R_AH0_S
アクリル	acrylic	AH0_K_R_IH1_L_IH0_K
アクロバティック	acrobatic	AE2_K_R_AH0_B_AE1_T_IH0_K
アクロバチック	acrobatic	AE2_K_R_AH0_B_AE1_T_IH0_K
アクロバット	acrobat	AE1_K_R_AH0_B_AE2_T
アクロポリス	acropolis	AH0_K_R_AA1_P_AH0_L_AH0_S
アグリーメント	agreement	AH0_G_R_IY1_M_AH0_N_T
アグリメント	agreement	AH0_G_R_IY1_M_AH0_N_T
アグリカルチャー	agriculture	AE1_G_R_IH0_K_AH2_L_CH_ER0
アグリカルチャ	agriculture	AE1_G_R_IH0_K_AH2_L_CH_ER0
アグリビジネス	agribusiness	AE1_G_R_AH0_B_IH2_Z_N_AH0_S
アグロビジネス	agribusiness	AE1_G_R_AH0_B_IH2_Z_N_AH0_S
アグレッシブ	aggressive	AH0_G_R_EH1_S_IH0_V
アグレッシヴ	aggressive	AH0_G_R_EH1_S_IH0_V
アグレシブ	aggressive	AH0_G_R_EH1_S_IH0_V
アグレシヴ	aggressive	AH0_G_R_EH1_S_IH0_V
アコーディオン	accordion	AH0_K_AO1_R_D_IY0_AH0_N
アコーデオン	accordion	AH0_K_AO1_R_D_IY0_AH0_N
アコーディアン	accordion	AH0_K_AO1_R_D_IY0_AH0_N
アコード	accord	AH0_K_AO1_R_D
アゴラフォビア	agoraphobia	AH0_G_AO2_R_AH0_F_OW1_B_IY0_AH0
アサート	assert	AH0_S_ER1_T
アサイド	aside	AH0_S_AY1_D
アサイン	assign	AH0_S_AY1_N
アサインメント	assignment	AH0_S_AY1_N_M_AH0_N_T
アシスタント	assistant	AH0_S_IH1_S_T_AH0_N_T
アスィスタント	assistant	AH0_S_IH1_S_T_AH0_N_T
アシスト	assist	AH0_S_IH1_S_T
アシドーシス	acidosis	AE2_S_IH0_D_OW1_S_AH0_S
アシンメトリー	asymmetry	EY2_S_IH1_M_AH0_T_R_IY0
アジ	agitation	AE2_JH_AH0_T_EY1_SH_AH0_N
アジテーション	agitation	AE2_JH_AH0_T_EY1_SH_AH0_N
アジテイション	agitation	AE2_JH_AH0_T_EY1_SH_AH0_N
アジテーター	agitator	AE1_JH_AH0_T_EY2_T_ER0
アジャスト	adjustment	AH0_JH_AH1_S_T_M_AH0_N_T
アスタリスク	asterisk	AE1_S_T_ER0_IH0_S_K
アステリスク	asterisk	AE1_S_T_ER0_IH0_S_K
アステック	aztec	AE1_Z_T_EH2_K
アステカ	aztec	AE1_Z_T_EH2_K
アステリ	asterisk	AE1_S_T_ER0_IH0_S_K
アストリンゼント	astringent	AH0_S_T_R_IH1_N_JH_AH0_N_T
アストリンゼン	astringent	AH0_S_T_R_IH1_N_JH_AH0_N_T
