アードバーク	aardvark	AA1_R_D_V_AA2_R_K
ディアスポラ	diaspora	D_AY0_AE1_S_P_ER0_AH0
ジアスターゼ	diastase	D_AY1_AH0_S_T_EY2_S
ダイアトニック	diatonic	D_AY2_AH0_T_AA1_N_IH0_K
ダイス	dice	D_AY1_S
ダイクロイックミラー	dichroic|mirror	D_AY0_K_R_OW1_IH0_K|M_IH1_R_ER0
ダイシング	dicing	D_AY1_S_IH0_NG
ディッキー	dickey	D_IH1_K_IY0
ディクテーション	dictation	D_IH0_K_T_EY1_SH_AH0_N
ディクション	diction	D_IH1_K_SH_AH0_N
ディクショナリ	dictionary	D_IH1_K_SH_AH0_N_EH2_R_IY0
ディクショナリー	dictionary	D_IH1_K_SH_AH0_N_EH2_R_IY0
ダイカスト	die|cast	D_AY1|K_AE1_S_T
ダイキャスト	die|cast	D_AY1|K_AE1_S_T
ジーゼル	diesel	D_IY1_S_AH0_L
ディーゼル	diesel	D_IY1_S_AH0_L
ダイエット	diet	D_AY1_AH0_T
ディフ	dif	D_IH1_F
ディファレンシアル	differential	D_IH2_F_ER0_EH1_N_SH_AH0_L
ディファレンシャル	differential	D_IH2_F_ER0_EH1_N_SH_AH0_L
ディファレンシエーション	differentiation	D_IH0_F_ER0_EH2_N_SH_IY0_EY1_SH_AH0_N
ディフュージョンインデックス	diffusion|index	D_IH0_F_Y_UW1_ZH_AH0_N|IH1_N_D_EH0_K_S
ダイジェスト	digest	D_AY0_JH_EH1_S_T
ダイジェストアクセスプロトコル	digest|access|protocol	D_AY0_JH_EH1_S_T|AE1_K_S_EH2_S|P_R_OW1_T_AH0_K_AA2_L
ディジット	digit	D_IH1_JH_AH0_T
デジット	digit	D_IH1_JH_AH0_T
ディジタル	digital	D_IH1_JH_AH0_T_AH0_L
デジ	digital	D_IH1_JH_AH0_T_AH0_L
デジタル	digital	D_IH1_JH_AH0_T_AH0_L
デジタルカメラ	digital|camera	D_IH1_JH_AH0_T_AH0_L|K_AE1_M_ER0_AH0
デジタルマネー	digital|money	D_IH1_JH_AH0_T_AH0_L|M_AH1_N_IY0
デジタルパチンコ	digital|pachinko	D_IH1_JH_AH0_T_AH0_L|P_AH0_CH_IH1_NG_K_OW0
デジタルチケット	digital|ticket	D_IH1_JH_AH0_T_AH0_L|T_IH1_K_AH0_T
ジギタリス	digitalis	D_IH2_JH_AH0_T_AE1_L_AH0_S
ディジタライズ	digitize	D_IH1_JH_AH0_T_AY2_Z
ディグニティ	dignity	D_IH1_G_N_AH0_T_IY0
ディグニティー	dignity	D_IH1_G_N_AH0_T_IY0
ディルド	dildo	D_IH1_L_D_OW2
ジレンマ	dilemma	D_IH0_L_EH1_M_AH0
ディレンマ	dilemma	D_IH0_L_EH1_M_AH0
ディリジェンス	diligence	D_IH1_L_IH0_JH_AH0_N_S
ディル	dill	D_IH1_L
ダイム	dime	D_AY1_M
ダイメンション	dimension	D_IH0_M_EH1_N_SH_AH0_N
ディメンション	dimension	D_IH0_M_EH1_N_SH_AH0_N
ディメンションメンバプロパティ	dimension|member|property	D_IH0_M_EH1_N_SH_AH0_N|M_EH1_M_B_ER0|P_R_AA1_P_ER0_T_IY0
ディメンショナリティ	dimensionality	D_IH0_M_EH2_N_SH_AH0_N_AE1_L_AH0_T_IY0
ディミニッシュ	diminish	D_IH0_M_IH1_N_IH0_SH
ディミニッシングリターンズ	diminishing|returns	D_IH0_M_IH1_N_IH0_SH_IH0_NG|R_IH0_T_ER1_N_Z
ディンプル	dimple	D_IH1_M_P_AH0_L
ディン	din	D_IH1_N
ダイナー	diner	D_AY1_N_ER0
ディンギー	dinghy	D_IH1_NG_IY0
ダイニング	dining	D_AY1_N_IH0_NG
ディナー	dinner	D_IH1_N_ER0
ディナータイム	dinnertime	D_IH1_N_ER0_T_AY2_M
ダイノソー	dinosaur	D_AY1_N_AH0_S_AO2_R
ダイノソア	dinosaur	D_AY1_N_AH0_S_AO2_R
ディノサウル	dinosaur	D_AY1_N_AH0_S_AO2_R
ディノサウルス	dinosaurs	D_AY1_N_AH0_S_AO2_R_Z
ダイオード	diode	D_AY1_OW2_D
ダイオド	diode	D_AY1_OW2_D
ディオン	dion	D_AY1_AH0_N
ダイオキシン	dioxin	D_AY2_AA1_K_S_IH0_N
ディップ	dip	D_IH1_P
ディプスイッチ	dip|switch	D_IH1_P|S_W_IH1_CH
ジフテリア	diphtheria	D_IH0_F_TH_IH1_R_IY0_AA0
ジフテリヤ	diphtheria	D_IH0_F_TH_IH1_R_IY0_AA0
ジフトリア	diphtheria	D_IH0_F_TH_IH1_R_IY0_AA0
ディプロマ	diploma	D_IH0_P_L_OW1_M_AA0
ディプロマシー	diplomacy	D_IH0_P_L_OW1_M_AH0_S_IY0
ディプロマット	diplomat	D_IH1_P_L_AH0_M_AE2_T
ダイポール	dipole	D_AY1_P_OW2_L
ダイポル	dipole	D_AY1_P_OW2_L
ディップス	dips	D_IH1_P_S
ダイレクト	direct	D_ER0_EH1_K_T
ダイレクトマーケティング	direct|marketing	D_ER0_EH1_K_T|M_AA1_R_K_AH0_T_IH0_NG
ダイレクション	direction	D_ER0_EH1_K_SH_AH0_N
ディレクション	direction	D_ER0_EH1_K_SH_AH0_N
ディレクティブ	directive	D_ER0_EH1_K_T_IH0_V
ディレクタ	director	D_ER0_EH1_K_T_ER0
ディレクター	director	D_ER0_EH1_K_T_ER0
ディレクトリ	directory	D_ER0_EH1_K_T_ER0_IY0
ディレクトリー	directory	D_ER0_EH1_K_T_ER0_IY0
ディレクトリィ	directory	D_ER0_EH1_K_T_ER0_IY0
ダート	dirt	D_ER1_T
ダーティ	dirty	D_ER1_T_IY0
ダーティー	dirty	D_ER1_T_IY0
ダイサ	disa	D_IH1_S_AH0
ディスエーブル	disable	D_IH0_S_EY1_B_AH0_L
ディセーブル	disable	D_IH0_S_EY1_B_AH0_L
ディスアドバンテージ	disadvantage	D_IH2_S_AH0_D_V_AE1_N_T_IH0_JH
ディスアセンブル	disassemble	D_IH2_S_AH0_S_EH1_M_B_AH0_L
ディスチャージ	discharge	D_IH0_S_CH_AA1_R_JH
ディシプリン	discipline	D_IH1_S_AH0_P_L_AH0_N
ディスクロージャー	disclosure	D_IH0_S_K_L_OW1_ZH_ER0
ディスコ	disco	D_IH1_S_K_OW0
ディスコグラフィ	discography	D_IH0_S_K_AO1_G_R_AH0_F_IY0
ディスコグラフィー	discography	D_IH0_S_K_AO1_G_R_AH0_F_IY0
ディスコネクト	disconnect	D_IH0_S_K_AH0_N_EH1_K_T
ディスコード	discord	D_IH1_S_K_AO0_R_D
ディスコテーク	discotheque	D_IH1_S_K_OW0_T_EH2_K
ディスカウント	discount	D_IH0_S_K_AW1_N_T
ディスカウンター	discounter	D_IH1_S_K_AW2_N_T_ER0
ディスカレッジ	discourage	D_IH0_S_K_ER1_IH0_JH
ディスコース	discourse	D_IH1_S_K_AO0_R_S
ディスカバー	discover	D_IH0_S_K_AH1_V_ER0
ディスカバラー	discoverer	D_IH0_S_K_AH1_V_AH0_R_ER0
ディスカバリー	discovery	D_IH0_S_K_AH1_V_ER0_IY0
ディスクレパンシー	discrepancy	D_IH0_S_K_R_EH1_P_AH0_N_S_IY0
ディスクリート	discrete	D_IH0_S_K_R_IY1_T
ディスクレション	discretion	D_IH0_S_K_R_EH1_SH_AH0_N
ディスカス	discus	D_IH1_S_K_AH0_S
ディスカッション	discussion	D_IH0_S_K_AH1_SH_AH0_N
ディジーズ	disease	D_IH0_Z_IY1_Z
ディッシュ	dish	D_IH1_SH
ディッシャー	disher	D_IH1_SH_ER0
デサリュージョン	disillusion	D_IH2_S_IH0_L_UW1_ZH_AH0_N
デスィリュージョン	disillusion	D_IH2_S_IH0_L_UW1_ZH_AH0_N
ディスインフレ	disinflation	D_IH2_S_IH0_N_F_L_EY1_SH_AH0_N
ディスインフレーション	disinflation	D_IH2_S_IH0_N_F_L_EY1_SH_AH0_N
ディスク	disk	D_IH1_S_K
ディスクドライブ	disk|drive	D_IH1_S_K|D_R_AY1_V
ディスケット	diskette	D_IH0_S_K_EH1_T
ディスケットドライブ	diskette|drive	D_IH0_S_K_EH1_T|D_R_AY1_V
ディスクレス	diskless	D_IH1_S_K_L_AH0_S
ディスライク	dislike	D_IH0_S_L_AY1_K
ディズニー	disney	D_IH1_Z_N_IY0
ディズニーランド	disneyland	D_IH1_Z_N_IY0_L_AE2_N_D
ディスパッチ	dispatch	D_IH0_S_P_AE1_CH
ディスパッチャ	dispatcher	D_IH0_S_P_AE1_CH_ER0
ディスパッチャー	dispatcher	D_IH0_S_P_AE1_CH_ER0
ディスプレースメント	displacement	D_IH0_S_P_L_EY1_S_M_AH0_N_T
ディスプレー	display	D_IH0_S_P_L_EY1
ディスプレイ	display	D_IH0_S_P_L_EY1
ディスポーザブル	disposable	D_IH0_S_P_OW1_Z_AH0_B_AH0_L
ディスポーザー	disposer	D_IH0_S_P_OW1_Z_ER0
ディスラプト	disrupt	D_IH0_S_R_AH1_P_T
ディゾルブ	dissolve	D_IH0_Z_AA1_L_V
ディスタンス	distance	D_IH1_S_T_AH0_N_S
ジステンパー	distemper	D_IH0_S_T_EH1_M_P_ER0
ディステンパー	distemper	D_IH0_S_T_EH1_M_P_ER0
ディストーション	distortion	D_IH0_S_T_AO1_R_SH_AH0_N
ディストリビューション	distribution	D_IH2_S_T_R_AH0_B_Y_UW1_SH_AH0_N
ディストリビューター	distributor	D_IH0_S_T_R_IH1_B_Y_AH0_T_ER0
ディストリビューターキャップ	distributor|cap	D_IH0_S_T_R_IH1_B_Y_AH0_T_ER0|K_AE1_P
ディスターブ	disturb	D_IH0_S_T_ER1_B
ディザ	dither	D_IH1_DH_ER0
ディザリング	dithering	D_IH1_DH_ER0_IH0_NG
ディーヴァ	diva	D_IY1_V_AH0
ディーバ	diva	D_IY1_V_AH0
ダイブ	dive	D_AY1_V
ダイブテーブル	dive|table	D_AY1_V|T_EY1_B_AH0_L
ダイバー	diver	D_AY1_V_ER0
ダイバーシティ	diversity	D_IH0_V_ER1_S_IH0_T_IY0
ダイバーシティー	diversity	D_IH0_V_ER1_S_IH0_T_IY0
ディヴェルティメント	divertimento	D_IH0_V_ER2_T_AH0_M_EH1_N_T_OW2
ディベルティメント	divertimento	D_IH0_V_ER2_T_AH0_M_EH1_N_T_OW2
ディバイド	divide	D_IH0_V_AY1_D
ディバイデッドスカート	divided|skirt	D_IH0_V_AY1_D_IH0_D|S_K_ER1_T
ディバイダ	divider	D_IH0_V_AY1_D_ER0
ディバイダー	divider	D_IH0_V_AY1_D_ER0
デバイダー	divider	D_IH0_V_AY1_D_ER0
ダイヴィング	diving	D_AY1_V_IH0_NG
ダイビング	diving	D_AY1_V_IH0_NG
ダイビングキャッチ	diving|catch	D_AY1_V_IH0_NG|K_AE1_CH
ディビジョン	division	D_IH0_V_IH1_ZH_AH0_N
ディボース	divorce	D_IH0_V_AO1_R_S
ディキシー	dixie	D_IH1_K_S_IY0
デキシー	dixie	D_IH1_K_S_IY0
ディキシーランド	dixieland	D_IH1_K_S_IY0_L_AE2_N_D
デキシーランド	dixieland	D_IH1_K_S_IY0_L_AE2_N_D
ジブチ	djibouti	JH_IH0_B_UW1_T_IY2
ドゥーイットユアセルフ	do|it|yourself	D_UW1|IH1_T|Y_ER0_S_EH1_L_F
ドゥイットユアセルフ	do|it|yourself	D_UW1|IH1_T|Y_ER0_S_EH1_L_F
ドーベルマン	doberman	D_OW1_B_ER0_M_AH0_N
ダック	dock	D_AA1_K
ドック	dock	D_AA1_K
ドッキング	docking	D_AA1_K_IH0_NG
ドッキングステーション	docking|station	D_AA1_K_IH0_NG|S_T_EY1_SH_AH0_N
ドクター	doctor	D_AA1_K_T_ER0
ドクトル	doctor	D_AA1_K_T_ER0
ドクトリン	doctrine	D_AO1_K_T_ER0_IH0_N
ドキュドラマ	docudrama	D_AA1_K_Y_UW0_D_R_AA2_M_AH0
ドキュメント	document	D_AA1_K_Y_UW0_M_EH0_N_T
ドキュメントィンドウ	document|window	D_AA1_K_Y_UW0_M_EH0_N_T|W_IH1_N_D_OW0
ドキュメンタリ	documentary	D_AA2_K_Y_UW0_M_EH1_N_T_ER0_IY0
ドキュメンタリー	documentary	D_AA2_K_Y_UW0_M_EH1_N_T_ER0_IY0
ドキュメンタル	documentary	D_AA2_K_Y_UW0_M_EH1_N_T_ER0_IY0
ドキュメンテーション	documentation	D_AA2_K_Y_UW0_M_EH0_N_T_EY1_SH_AH0_N
ドッジング	dodging	D_AA1_JH_IH0_NG
ドードー	dodo	D_OW1_D_OW0
ドド	dodo	D_OW1_D_OW0
ドッグ	dog	D_AO1_G
ドージェ	doge	D_OW1_JH
ドギーバッグ	doggie|bag	D_AO1_G_IY0|B_AE1_G
ドグマ	dogma	D_AA1_G_M_AH0
ドグマチック	dogmatic	D_AA0_G_M_AE1_T_IH0_K
ドグマティック	dogmatic	D_AA0_G_M_AE1_T_IH0_K
ドグマチズム	dogmatism	D_AA1_G_M_AH0_T_IH2_Z_AH0_M
ドグマティズム	dogmatism	D_AA1_G_M_AH0_T_IH2_Z_AH0_M
ド	doh	D_OW1
ドーハ	doha	D_OW1_HH_AA2
ドイモイ	doi|moi	D_OY1|M_W_AA1
ドイリー	doily	D_OY1_L_IY0
ドクター	doktor	D_AA1_K_T_ER0
ドクトル	doktor	D_AA1_K_T_ER0
ドルチェ	dolce	D_OW1_L_CH_EY2
ドール	doll	D_AA1_L
ダラー	dollar	D_AA1_L_ER0
ドルラル	dollar	D_AA1_L_ER0
ドールハウス	dollhouse	D_AA1_L_HH_AW2_S
ドリー	dolly	D_AA1_L_IY0
ドルマン	dolman	D_AA1_L_M_AH0_N
ドロマイト	dolomite	D_OW1_L_AH0_M_AY2_T
ドルフィン	dolphin	D_AA1_L_F_AH0_N
ドム	dom	D_AA1_M
ドメイン	domain	D_OW0_M_EY1_N
ドーム	dome	D_OW1_M
ドメスチック	domestic	D_AH0_M_EH1_S_T_IH0_K
ドメスティック	domestic	D_AH0_M_EH1_S_T_IH0_K
ドメスティックブランド	domestic|brand	D_AH0_M_EH1_S_T_IH0_K|B_R_AE1_N_D
ドミナ	domina	D_OW0_M_IY1_N_AH0
ドミナント	dominant	D_AA1_M_AH0_N_AH0_N_T
ドミネート	dominate	D_AA1_M_AH0_N_EY2_T
ドミネイト	dominate	D_AA1_M_AH0_N_EY2_T
ドミネーション	domination	D_AA2_M_AH0_N_EY1_SH_AH0_N
ドミンゴ	domingo	D_OW0_M_IH1_NG_G_OW0
ドミニカ	dominica	D_AH0_M_IH1_N_IH0_K_AH0
ドミニオン	dominion	D_AH0_M_IH1_N_Y_AH0_N
ドミノ	domino	D_AA1_M_IH0_N_OW2
ドン	don	D_AA1_N
ドネーション	donation	D_OW0_N_EY1_SH_AH0_N
ゴーン	dong	D_AO1_NG
ドン	dong	D_AO1_NG
ドンキー	donkey	D_AA1_NG_K_IY0
ドナー	donor	D_OW1_N_ER0
ドゥーワップ	doo|wop	D_UW1|W_AA1_P
ドゥーム	doom	D_UW1_M
ドームズデー	doomsday	D_UW1_M_Z_D_EY2
ドア	door	D_AO1_R
ドアー	door	D_AO1_R
ドアアイ	door|eye	D_AO1_R|AY1
ドアホン	door|phone	D_AO1_R|F_OW1_N
ドアツードア	door|to|door	D_AO1_R|T_UW1|D_AO1_R
ドアベル	doorbell	D_AO1_R_B_EH2_L
ドアマット	doormat	D_AO1_R_M_AE2_T
ドアーズ	doors	D_AO1_R_Z
ドゥーパ	dopa	D_OW1_P_AH0
ドーパミン	dopamine	D_AA1_P_AH0_M_AY2_N
ドープ	dope	D_OW1_P
ドップラー	doppler	D_AA1_P_L_ER0
ドラ	dora	D_AO1_R_AH0
ドラード	dorado	D_AO0_R_AA1_D_OW0
ドラド	dorado	D_AO0_R_AA1_D_OW0
ドーリア	doria	D_AO1_R_IY0_AH0
ドリア	doria	D_AO1_R_IY0_AH0
ドーマー	dormer	D_AO1_R_M_ER0
ドーミトリー	dormitory	D_AO1_R_M_AH0_T_AO2_R_IY0
ドミトリー	dormitory	D_AO1_R_M_AH0_T_AO2_R_IY0
ドーズ	dose	D_OW1_S
ドット	dot	D_AA1_T
トン	dot	D_AA1_T
ドットボム	dot|bomb	D_AA1_T|B_AA1_M
ドットドット	dot|dot	D_AA1_T|D_AA1_T
ダブル	double	D_AH1_B_AH0_L
ダブルボギー	double|bogey	D_AH1_B_AH0_L|B_OW1_G_IY0
ダブルブレスト	double|breasted	D_AH1_B_AH0_L|B_R_EH1_S_T_AH0_D
ダブルボタン	double|button	D_AH1_B_AH0_L|B_AH1_T_AH0_N
ダブルカウント	double|count	D_AH1_B_AH0_L|K_AW1_N_T
ダブルデッカー	double|decker	D_AH1_B_AH0_L|D_EH1_K_ER0
ダブルハイト	double|height	D_AH1_B_AH0_L|HH_AY1_T
ダブルニット	double|knit	D_AH1_B_AH0_L|N_IH1_T
ダブルパンチ	double|punch	D_AH1_B_AH0_L|P_AH1_N_CH
ダブルスタンダード	double|standard	D_AH1_B_AH0_L|S_T_AE1_N_D_ER0_D
ダブルタップ	double|tap	D_AH1_B_AH0_L|T_AE1_P
ダブルス	doubles	D_AH1_B_AH0_L_Z
ダブルスピーク	doublespeak	D_AH1_B_AH0_L_S_P_IY2_K
ダブリング	doubling	D_AH1_B_AH0_L_IH0_NG
ダウト	doubt	D_AW1_T
ドウ	dough	D_OW1
ドーナツ	doughnut	D_OW1_N_AH2_T
ドーナッツ	doughnut	D_OW1_N_AH2_T
ダウ	dow	D_AW1
ダン	down	D_AW1_N
ダウン	down	D_AW1_N
ダウンビート	downbeat	D_AW0_N_B_IY1_T
ダウナー	downer	D_AW1_N_ER0
ダウンヒル	downhill	D_AW1_N_HH_IH1_L
ダウンロード	download	D_AW1_N_L_OW2_D
ダウンサイズ	downsize	D_AW1_N_S_AY2_Z
ダウンサイジング	downsizing	D_AW1_N_S_AY2_Z_IH0_NG
ダウンストリーム	downstream	D_AW1_N_S_T_R_IY1_M
ダウンタウン	downtown	D_AW1_N_T_AW1_N
ダウジング	dowsing	D_AW1_S_IH0_NG
ダズン	dozen	D_AH1_Z_AH0_N
ダラクマ	drachma	D_R_AE1_K_M_AH0
ドラクマ	drachma	D_R_AE1_K_M_AH0
ドラクメ	drachma	D_R_AE1_K_M_AH0
ドラフト	draft	D_R_AE1_F_T
ドラック	drag	D_R_AE1_G
ドラッグ	drag	D_R_AE1_G
ドラァグ	dragging	D_R_AE1_G
ドラッギング	dragging	D_R_AE1_G_IH0_NG
ドラゴン	dragon	D_R_AE1_G_AH0_N
ドレーン	drain	D_R_EY1_N
ドレイン	drain	D_R_EY1_N
ドレン	drain	D_R_EY1_N
ドレナージ	drainage	D_R_EY1_N_AH0_JH
ドレナージュ	drainage	D_R_EY1_N_AH0_JH
ダラム	dram	D_R_AE1_M
ドラム	dram	D_R_AE1_M
ドラマ	drama	D_R_AA1_M_AH0
ドラマチック	dramatic	D_R_AH0_M_AE1_T_IH0_K
ドラマティック	dramatic	D_R_AH0_M_AE1_T_IH0_K
ドラマチスト	dramatist	D_R_AA1_M_AH0_T_IH0_S_T
ドレープ	drape	D_R_EY1_P
ドレーピング	draping	D_R_EY1_P_IH0_NG
ドラスチック	drastic	D_R_AE1_S_T_IH0_K
ドラスティック	drastic	D_R_AE1_S_T_IH0_K
ドロー	draw	D_R_AO1
ドローワー	drawer	D_R_AO1_R
ドロア	drawer	D_R_AO1_R
ドロアー	drawer	D_R_AO1_R
ドロワ	drawer	D_R_AO1_R
ドロワー	drawer	D_R_AO1_R
ズロース	drawers	D_R_AO1_R_Z
ドロワース	drawers	D_R_AO1_R_Z
ドロワーズ	drawers	D_R_AO1_R_Z
ドローイング	drawing	D_R_AO1_IH0_NG
ドローンゲーム	drawn|game	D_R_AO1_N|G_EY1_M
ドロンゲーム	drawn|game	D_R_AO1_N|G_EY1_M
ドレッドノート	dreadnought	D_R_EH1_D_N_AO2_T
ドリーム	dream	D_R_IY1_M
ドリームボックス	dream|box	D_R_IY1_M|B_AA1_K_S
ドリーマー	dreamer	D_R_IY1_M_ER0
ドリーミング	dreaming	D_R_IY1_M_IH0_NG
ドリームランド	dreamland	D_R_IY1_M_L_AE2_N_D
ドリーミー	dreamy	D_R_IY1_M_IY0
ドレッジ	dredge	D_R_EH1_JH
ドレス	dress	D_R_EH1_S
ドレッサージュ	dressage	D_R_EH0_S_AA1_ZH
ドレッサー	dresser	D_R_EH1_S_ER0
ドレッシング	dressing	D_R_EH1_S_IH0_NG
ドレッシング	dressing	D_R_EH1_S_IH0_NG
ドレスメーカー	dressmaker	D_R_EH1_S_M_EY2_K_ER0
ドレスメーキング	dressmaking	D_R_EH1_S_M_EY2_K_IH0_NG
ドレッシー	dressy	D_R_EH1_S_IY0
ドリブル	dribble	D_R_IH1_B_AH0_L
ドリフト	drift	D_R_IH1_F_T
ドリフター	drifter	D_R_IH1_F_T_ER0
ドリル	drill	D_R_IH1_L
ドリルビット	drill|bit	D_R_IH1_L|B_IH1_T
ドリンク	drink	D_R_IH1_NG_K
ドリンカー	drinker	D_R_IH1_NG_K_ER0
ドリンキング	drinking	D_R_IH1_NG_K_IH0_NG
ドリップ	drip	D_R_IH1_P
ドリップドライ	drip|dry	D_R_IH1_P|D_R_AY1
ドライブ	drive	D_R_AY1_V
ドライブバイインストール	drive|by|install	D_R_AY1_V|B_AY1|IH2_N_S_T_AO1_L
ドライブゲーム	drive|game	D_R_AY1_V|G_EY1_M
ドライブイン	drive|in	D_R_AY1_V|IH0_N
ドライブレコーダー	drive|recorder	D_R_AY1_V|R_IH0_K_AO1_R_D_ER0
ドリブン	driven	D_R_IH1_V_AH0_N
ドライバ	driver	D_R_AY1_V_ER0
ドライバー	driver	D_R_AY1_V_ER0
ドライブウェー	driveway	D_R_AY1_V_W_EY2
ドライブウエー	driveway	D_R_AY1_V_W_EY2
ドライブウェイ	driveway	D_R_AY1_V_W_EY2
ドライビング	driving	D_R_AY1_V_IH0_NG
ドライビングコンテスト	driving|contest	D_R_AY1_V_IH0_NG|K_AA1_N_T_EH0_S_T
ドライビングテクニック	driving|technique	D_R_AY1_V_IH0_NG|T_EH0_K_N_IY1_K
ドローン	drone	D_R_OW1_N
ドロップ	drop	D_R_AA1_P
ドロップイン	drop|in	D_R_AA1_P|IH0_N
ドロップキック	drop|kick	D_R_AA1_P|K_IH1_K
ドロップアウト	dropout	D_R_AA1_P_AW2_T
ドラック	drug	D_R_AH1_G
ドラッグ	drug	D_R_AH1_G
ドラッグストア	drugstore	D_R_AH1_G_S_T_AO2_R
ドゥルイド	druid	D_R_UW1_IH0_D
ドルイド	druid	D_R_UW1_IH0_D
ドラム	drum	D_R_AH1_M
ドラマー	drummer	D_R_AH1_M_ER0
ドラミング	drumming	D_R_AH1_M_IH0_NG
ドライ	dry	D_R_AY1
ドライヤー	dryer	D_R_AY1_ER0
ドライポイント	drypoint	D_R_AY1_P_OY2_N_T
ディーエスエス	dss	D_IY1_EH1_S_EH1_S
デュアル	dual	D_UW1_AH0_L
デュアルアタッチド	dual|attached	D_UW1_AH0_L|AH0_T_AE1_CH_T
デュアルホームド	dual|homed	D_UW1_AH0_L|HH_OW1_M_D
デュアリズム	dualism	D_UW1_AH0_L_IH2_Z_AH0_M
ドバイ	dubai	D_UW0_B_AY1
ダビング	dubbing	D_AH1_B_IH0_NG
ダブリン	dublin	D_AH1_B_L_IH0_N
ドゥーチェ	duce	D_UW1_S
ダッキング	ducking	D_AH1_K_IH0_NG
ダクト	duct	D_AH1_K_T
デュエル	duel	D_UW1_AH0_L
デュエット	duet	D_UW0_EH1_T
ダフ	duff	D_AH1_F
ダッフル	duffel	D_AH1_F_AH0_L
ダッファー	duffer	D_AH1_F_ER0
ダファー	duffer	D_AH1_F_ER0
ダグアウト	dugout	D_AH1_G_AW2_T
ダッグアウト	dugout	D_AH1_G_AW2_T
デューク	duke	D_UW1_K
ダルシマー	dulcimer	D_AH1_L_S_IH0_M_ER0
ドゥーマ	duma	D_UW1_M_AH0
ダンベル	dumbbell	D_AH1_M_B_EH2_L
ダミー	dummy	D_AH1_M_IY0
ダンプ	dump	D_AH1_M_P
ダンピング	dumping	D_AH1_M_P_IH0_NG
ダンプリング	dumpling	D_AH1_M_P_L_IH0_NG
ダンジョン	dungeon	D_AH1_N_JH_AH0_N
ダンク	dunk	D_AH1_NG_K
ダンクシュート	dunk|shoot	D_AH1_NG_K|SH_UW1_T
デュオ	duo	D_UW1_OW0
デュプレックス	duplex	D_UW1_P_L_EH2_K_S
デュープリケート	duplicate	D_UW1_P_L_AH0_K_AH0_T
デュプリケート	duplicate	D_UW1_P_L_AH0_K_AH0_T
デュレイション	duration	D_UH1_R_EY1_SH_AH0_N
デュロン	duron	D_Y_UW1_R_AH0_N
ダスト	dust	D_AH1_S_T
ダスター	duster	D_AH1_S_T_ER0
ダスターコート	duster|coat	D_AH1_S_T_ER0|K_OW1_T
ドワーフ	dwarf	D_W_AO1_R_F
ドエル	dwell	D_W_EH1_L
ドゥエリング	dwelling	D_W_EH1_L_IH0_NG
ドエリング	dwelling	D_W_EH1_L_IH0_NG
ダイアド	dyad	D_AY1_AE2_D
ダイナミック	dynamic	D_AY0_N_AE1_M_IH0_K
ダイナミクス	dynamics	D_AY0_N_AE1_M_IH0_K_S
ダイナミックス	dynamics	D_AY0_N_AE1_M_IH0_K_S
ダイナミズム	dynamism	D_AY1_N_AH0_M_IH2_Z_AH0_M
ダイナマイト	dynamite	D_AY1_N_AH0_M_AY2_T
ダイナモ	dynamo	D_AY1_N_AH0_M_OW2
ダイナモメーター	dynamometer	D_AY2_N_AH0_M_AA1_M_AH0_T_ER0
ディスレキシア	dyslexia	D_IH0_S_L_EH1_K_S_IY0_AH0
ディスレクシア	dyslexia	D_IH0_S_L_EH1_K_S_IY0_AH0
ジストロフィー	dystrophy	D_IH1_S_T_R_AH0_F_IY0
イービジネス	e|business	IY1|B_IH1_Z_N_AH0_S
イーイーカメラ	e|e|camera	IY1|IY1|K_AE1_M_ER0_AH0
イージャーナル	e|journal	IY1|JH_ER1_N_AH0_L
イーメイル	e|mail	IY1|M_EY1_L
イーメルアドレス	e|mail|address	IY1|M_EY1_L|AE1_D_R_EH2_S
イーメールアドレス	e|mail|address	IY1|M_EY1_L|AE1_D_R_EH2_S
イーメールソフトウェア	e|mail|software	IY1|M_EY1_L|S_AO1_F_T_W_EH2_R
イーテキスト	e|text	IY1|T_EH1_K_S_T
イーズィン	e|zine	IY1|Z_AY1_N
イーグル	eagle	IY1_G_AH0_L
イア	ear	IY1_R
イヤ	ear	IY1_R
イヤー	ear	IY1_R
イヤモニター	ear|monitor	IY1_R|M_AA1_N_AH0_T_ER0
アールダム	earldom	ER1_L_D_AH0_M
アールドム	earldom	ER1_L_D_AH0_M
アーリー	early	ER1_L_IY0
イヤマーク	earmark	IH1_R_M_AA2_R_K
イヤーマフ	earmuff	IH1_R_M_AH2_F
アーンドラン	earned|run	ER1_N_D|R_AH1_N
イヤフォーン	earphone	IH1_R_F_OW2_N
イヤフォン	earphone	IH1_R_F_OW2_N
イヤホーン	earphone	IH1_R_F_OW2_N
イヤホン	earphone	IH1_R_F_OW2_N
イアリング	earring	IH1_R_IH0_NG
イヤリング	earring	IH1_R_IH0_NG
アース	earth	ER1_TH
アースン	earthen	ER1_TH_AH0_N
アースリ	earthly	ER1_TH_L_IY0
アースクウェイク	earthquake	ER1_TH_K_W_EY2_K
アースクエーク	earthquake	ER1_TH_K_W_EY2_K
アースクェイク	earthquake	ER1_TH_K_W_EY2_K
アースクエイク	earthquake	ER1_TH_K_W_EY2_K
アースワーム	earthworm	ER1_TH_W_ER2_M
アーシー	earthy	ER1_TH_IY0
イーゼル	easel	IY1_Z_AH0_L
イースト	east	IY1_S_T
