アブストラクトアート	abstract|art	AE0_B_S_T_R_AE1_K_T|AA1_R_T
センターサークル	center|circle	S_EH1_N_T_ER0|S_ER1_K_AH0_L
センターコート	center|court	S_EH1_N_T_ER0|K_AO1_R_T
センターフォワード	center|forward	S_EH1_N_T_ER0|F_AO1_R_W_ER0_D
センターハーフ	center|half	S_EH1_N_T_ER0|HH_AE1_F
センターライン	center|line	S_EH1_N_T_ER0|L_AY1_N
センタライン	center|line	S_EH1_N_T_ER0|L_AY1_N
センタノード	center|node	S_EH1_N_T_ER0|N_OW1_D
センターオブエクセレンス	center|of|excellence	S_EH1_N_T_ER0|AH1_V|EH1_K_S_AH0_L_AH0_N_S
センターパート	center|part	S_EH1_N_T_ER0|P_AA1_R_T
センターポール	center|pole	S_EH1_N_T_ER0|P_OW1_L
センタースプレッド	center|spread	S_EH1_N_T_ER0|S_P_R_EH1_D
セントラルドグマ	central|dogma	S_EH1_N_T_R_AH0_L|D_AA1_G_M_AH0
セントラルヒーティング	central|heating	S_EH1_N_T_R_AH0_L|HH_IY1_T_IH0_NG
セントラルキッチン	central|kitchen	S_EH1_N_T_R_AH0_L|K_IH1_CH_AH0_N
セントラルリーグ	central|league	S_EH1_N_T_R_AH0_L|L_IY1_G
セントラルパーク	central|park	S_EH1_N_T_R_AH0_L|P_AA1_R_K
セントラルプロセシングユニット	central|processing|unit	S_EH1_N_T_R_AH0_L|P_R_AA1_S_EH0_S_IH0_NG|Y_UW1_N_AH0_T
セントラルサイト	central|site	S_EH1_N_T_R_AH0_L|S_AY1_T
センターベンツ	centre|vent	S_EH1_N_T_ER0|V_EH1_N_T
セントロニクスインターフェース	centronics|interface	S_EH2_N_T_R_AA1_N_IH0_K_S|IH1_N_T_ER0_F_EY2_S
セープ	cep	S_EH1_P
セラミックエンジン	ceramic|engine	S_ER0_AE1_M_IH0_K|EH1_N_JH_AH0_N
セラミックヒーター	ceramic|heater	S_ER0_AE1_M_IH0_K|HH_IY1_T_ER0
チャイティー	chai|tea	CH_AY1|T_IY1
チェーンブロック	chain|block	CH_EY1_N|B_L_AA1_K
チェーンカッター	chain|cutter	CH_EY1_N|K_AH1_T_ER0
チェーンレター	chain|letter	CH_EY1_N|L_EH1_T_ER0
チェーンメイル	chain|mail	CH_EY1_N|M_EY1_L
チェインメイル	chain|mail	CH_EY1_N|M_EY1_L
チェーンメール	chain|mail	CH_EY1_N|M_EY1_L
チェーンプリンタ	chain|printer	CH_EY1_N|P_R_IH1_N_T_ER0
チェーンスモーカー	chain|smoker	CH_EY1_N|S_M_OW1_K_ER0
チェーンストア	chain|store	CH_EY1_N|S_T_AO1_R
シェーズロング	chaise|lounge	SH_EY1_Z|L_AW1_N_JH
チョークストライプ	chalk|stripe	CH_AA1_K|S_T_R_AY1_P
チェンバーミュージック	chamber|music	CH_EY1_M_B_ER0|M_Y_UW1_Z_IH0_K
チェンバーオルガン	chamber|organ	CH_EY1_M_B_ER0|AO1_R_G_AH0_N
シャンパーニュ	champagne	SH_AE0_M_P_EY1_N
シャンパン	champagne	SH_AE0_M_P_EY1_N
シャンパングラス	champagne|glass	SH_AE0_M_P_EY1_N|G_L_AE1_S
シャンパンタワー	champagne|tower	SH_AE0_M_P_EY1_N|T_AW1_ER0
チャンピオンベルト	champion|belt	CH_AE1_M_P_IY0_AH0_N|B_EH1_L_T
チャンピオンフラッグ	champion|flag	CH_AE1_M_P_IY0_AH0_N|F_L_AE1_G
チャンピオンシップポイント	championship|point	CH_AE1_M_P_IY0_AH0_N_SH_IH2_P|P_OY1_N_T
チャンスロス	chance|loss	CH_AE1_N_S|L_AO1_S
チャンスメーカー	chance|maker	CH_AE1_N_S|M_EY1_K_ER0
チェンジアップ	change|up	CH_EY1_N_JH|AH1_P
チェンジレバー	change|lever	CH_EY1_N_JH|L_EH1_V_ER0
チャネルアジリティ	channel|agility	CH_AE1_N_AH0_L|AH0_JH_IH1_L_AH0_T_IY0
チャネルデフィニションフォーマット	channel|definition|format	CH_AE1_N_AH0_L|D_EH2_F_AH0_N_IH1_SH_AH0_N|F_AO1_R_M_AE2_T
チャネルプログラム	channel|program	CH_AE1_N_AH0_L|P_R_OW1_G_R_AE2_M
チャネルステータスワード	channel|status|word	CH_AE1_N_AH0_L|S_T_AE1_T_AH0_S|W_ER1_D
チャネリング	channeling	CH_AE1_N_AH0_L_IH0_NG
カオス	chaos	K_EY1_AA0_S
キャラクタベース	character|base	K_EH1_R_IH0_K_T_ER0|B_EY1_S
キャラクタービジネス	character|business	K_EH1_R_IH0_K_T_ER0|B_IH1_Z_N_AH0_S
キャラクタセル	character|cell	K_EH1_R_IH0_K_T_ER0|S_EH1_L
キャラクターコード	character|code	K_EH1_R_IH0_K_T_ER0|K_OW1_D
キャラクタコード	character|code	K_EH1_R_IH0_K_T_ER0|K_OW1_D
テキストデータ	text|data	T_EH1_K_S_T|D_EY1_T_AH0
キャラクターデザイン	character|design	K_EH1_R_IH0_K_T_ER0|D_IH0_Z_AY1_N
キャラクタデバイス	character|device	K_EH1_R_IH0_K_T_ER0|D_IH0_V_AY1_S
キャラクターディスプレー	character|display	K_EH1_R_IH0_K_T_ER0|D_IH0_S_P_L_EY1
キャラクターディスプレイ	character|display	K_EH1_R_IH0_K_T_ER0|D_IH0_S_P_L_EY1
キャラクタディスプレイ	character|display	K_EH1_R_IH0_K_T_ER0|D_IH0_S_P_L_EY1
キャラクタフォーマット	character|format	K_EH1_R_IH0_K_T_ER0|F_AO1_R_M_AE2_T
キャラクタジェネレータ	character|generator	K_EH1_R_IH0_K_T_ER0|JH_EH1_N_ER0_EY2_T_ER0
キャラクタイメージ	character|image	K_EH1_R_IH0_K_T_ER0|IH1_M_AH0_JH
キャラクタマップ	character|map	K_EH1_R_IH0_K_T_ER0|M_AE1_P
キャラクタプリンタ	character|printer	K_EH1_R_IH0_K_T_ER0|P_R_IH1_N_T_ER0
キャラクタセット	character|set	K_EH1_R_IH0_K_T_ER0|S_EH1_T
キャラクターソング	character|song	K_EH1_R_IH0_K_T_ER0|S_AO1_NG
キャラクターボイス	character|voice	K_EH1_R_IH0_K_T_ER0|V_OY1_S
チャコールフィルター	charcoal|filter	CH_AA1_R_K_OW2_L|F_IH1_L_T_ER0
チャコールグレー	charcoal|gray	CH_AA1_R_K_OW2_L|G_R_EY1
チャリティーコンサート	charity|concert	CH_EH1_R_IH0_T_IY0|K_AA1_N_S_ER0_T
チャリティコンサート	charity|concert	CH_EH1_R_IH0_T_IY0|K_AA1_N_S_ER0_T
チャリティーショー	charity|show	CH_EH1_R_IH0_T_IY0|SH_OW1
シャルム	charm	CH_AA1_R_M
チャームポイント	charm|point	CH_AA1_R_M|P_OY1_N_T
シャルマン	charming	CH_AA1_R_M_IH0_NG
グラフエリア	graph|area	G_R_AE1_F|EH1_R_IY0_AH0
チャートファイル	chart|file	CH_AA1_R_T|F_AY1_L
グラフスライド	graph|slide	G_R_AE1_F|S_L_AY1_D
チャットエリア	chat|area	CH_AE1_T|EH1_R_IY0_AH0
チャットルーム	chat|room	CH_AE1_T|R_UW1_M
チャットセックス	chat|sex	CH_AE1_T|S_EH2_K_S
シャトー	chateau	SH_AE0_T_OW1
シャトーワイン	chateau|wine	SH_AE0_T_OW1|W_AY1_N
チャッターマーク	chatter|mark	CH_AE1_T_ER0|M_AA1_R_K
ショービニスム	chauvinism	SH_OW1_V_AH0_N_IH2_Z_AH0_M
ショービニズム	chauvinism	SH_OW1_V_AH0_N_IH2_Z_AH0_M
ショーヴィニスム	chauvinism	SH_OW1_V_AH0_N_IH2_Z_AH0_M
チープシック	cheap|chic	CH_IY1_P|SH_IY1_K
チープガバメント	cheap|government	CH_IY1_P|G_AH1_V_ER0_N_M_AH0_N_T
チープレーバー	cheap|labour	CH_IY1_P|L_EY1_B_ER0
チーティング	cheating	CH_IY1_T_IH0_NG
チェックアンドバランス	check|and|balance	CH_EH1_K|AH0_N_D|B_AE1_L_AH0_N_S
チェックギャランティーカード	check|guarantee|card	CH_EH1_K|G_EH2_R_AH0_N_T_IY1|K_AA1_R_D
チェックマーク	check|mark	CH_EH1_K|M_AA1_R_K
チェックポイント	check|point	CH_EH1_K|P_OY1_N_T
チェックプライス	check|price	CH_EH1_K|P_R_AY1_S
チェックプロテクター	check|protector	CH_EH1_K|P_R_AH0_T_EH1_K_T_ER0
チェックライター	check|writer	CH_EH1_K|R_AY1_T_ER0
チェックビルド	check|build	CH_EH1_K|B_IH1_L_D
チェッカーフラッグ	checker|flag	CH_EH1_K_ER0|F_L_AE1_G
チェックアウトタイム	checkout|time	CH_EH1_K_AW2_T|T_AY1_M
チェダーチーズ	cheddar|cheese	CH_EH1_D_ER0|CH_IY1_Z
チークカラー	cheek|color	CH_IY1_K|K_AH1_L_ER0
チアーダンス	cheer|dance	CH_IH1_R|D_AE1_N_S
チアダンス	cheer|dance	CH_IH1_R|D_AE1_N_S
チアガール	cheer|girl	CH_IH1_R|G_ER1_L
チアホーン	cheer|horn	CH_IH1_R|HH_AO1_R_N
チーズケーキ	cheese|cake	CH_IY1_Z|K_EY1_K
チーズフォンデュ	cheese|fondue	CH_IY1_Z|F_AA0_N_D_Y_UW1
チーズフォンデュー	cheese|fondue	CH_IY1_Z|F_AA0_N_D_Y_UW1
チーズサンド	cheese|sand	CH_IY1_Z|S_AE1_N_D
チーズトースト	cheese|toast	CH_IY1_Z|T_OW1_S_T
シェフコート	chef|coat	SH_EH1_F|K_OW1_T
シェフナイフ	chef|knife	SH_EH1_F|N_AY1_F
ケミカルヒートポンプ	chemical|heat|pump	K_EH1_M_IH0_K_AH0_L|HH_IY1_T|P_AH1_M_P
ケミカルレース	chemical|lace	K_EH1_M_IH0_K_AH0_L|L_EY1_S
ケミカルライト	chemical|light	K_EH1_M_IH0_K_AH0_L|L_AY1_T
ケミカルピーリング	chemical|peeling	K_EH1_M_IH0_K_AH0_L|P_IY1_L_IH0_NG
ケミカルパルプ	chemical|pulp	K_EH1_M_IH0_K_AH0_L|P_AH1_L_P
ケミカルリサイクル	chemical|recycle	K_EH1_M_IH0_K_AH0_L|R_IY0_S_AY1_K_AH0_L
チェリーボーイ	cherry|boy	CH_EH1_R_IY0|B_OY1
チェリートマト	cherry|tomato	CH_EH1_R_IY0|T_AH0_M_EY1_T_OW2
チェシャーチーズ	cheshire|cheese	CH_EH1_SH_ER0|CH_IY1_Z
チェスマッチ	chess|match	CH_EH1_S|M_AE1_CH
チェスセット	chess|set	CH_EH1_S|S_EH1_T
チェストパス	chest|pass	CH_EH1_S_T|P_AE1_S
チェストプロテクター	chest|protector	CH_EH1_S_T|P_R_AH0_T_EH1_K_T_ER0
チューインガム	chewing|gum	CH_UW1_IH0_NG|G_AH1_M
チュウインガム	chewing|gum	CH_UW1_IH0_NG|G_AH1_M
チキンカレー	chicken|curry	CH_IH1_K_AH0_N|K_AH1_R_IY0
チキンカツレツ	chicken|cutlet	CH_IH1_K_AH0_N|K_AH1_T_L_AH0_T
チキンフラワー	chicken|flower	CH_IH1_K_AH0_N|F_L_AW1_ER0
チキンフライ	chicken|fried	CH_IH1_K_AH0_N|F_R_AY1_D
チキンキエフ	chicken|kiev	CH_IH1_K_AH0_N|K_IY2_EH1_V
チキンナゲット	chicken|nugget	CH_IH1_K_AH0_N|N_AH1_G_IH0_T
チキンレース	chicken|race	CH_IH1_K_AH0_N|R_EY1_S
チキンライス	chicken|rice	CH_IH1_K_AH0_N|R_AY1_S
チキンスープ	chicken|soup	CH_IH1_K_AH0_N|S_UW1_P
チーフアナリスト	chief|analyst	CH_IY1_F|AE1_N_AH0_L_IH0_S_T
チーフエグゼクティブ	chief|executive	CH_IY1_F|IH0_G_Z_EH1_K_Y_AH0_T_IH0_V
チーフメート	chief|mate	CH_IY1_F|M_EY1_T
チーフオフィサー	chief|officer	CH_IY1_F|AO1_F_AH0_S_ER0
チーフセコンド	chief|second	CH_IY1_F|S_EH1_K_AH0_N_D
チーフアンパイア	chief|umpire	CH_IY1_F|AH1_M_P_AY2_ER0
シフォンケーキ	chiffon|cake	SH_IH0_F_AA1_N|K_EY1_K
シフォンベルベット	chiffon|velvet	SH_IH0_F_AA1_N|V_EH1_L_V_AH0_T
チャイルドアビューズ	child|abuse	CH_AY1_L_D|AH0_B_Y_UW1_S
チャイルドロック	child|lock	CH_AY1_L_D|L_AA1_K
チャイルドシート	child|seat	CH_AY1_L_D|S_IY1_T
チリーフラミンゴ	chile|flamingo	CH_IH1_L_IY0|F_L_AH0_M_IH1_NG_G_OW0
チリコンカーネ	chili|con|carne	CH_IH1_L_IY0|K_AA1_N|K_AA1_R_N
チリコンカーン	chili|con|carne	CH_IH1_L_IY0|K_AA1_N|K_AA1_R_N
チリコンカルネ	chili|con|carne	CH_IH1_L_IY0|K_AA1_N|K_AA1_R_N
チリコンカン	chili|con|carne	CH_IH1_L_IY0|K_AA1_N|K_AA1_R_N
チリペッパー	chili|pepper	CH_IH1_L_IY0|P_EH1_P_ER0
チリパウダー	chili|powder	CH_IH1_L_IY0|P_AW1_D_ER0
チリソース	chili|sauce	CH_IH1_L_IY0|S_AO1_S
チルドビーフ	chilled|beef	CH_IH1_L_D|B_IY1_F
チルドキャスチング	chilled|casting	CH_IH1_L_D|K_AE1_S_T_IH0_NG
チルドロール	chilled|roll	CH_IH1_L_D|R_OW1_L
チャイナリスク	china|risk	CH_AY1_N_AH0|R_IH1_S_K
チャイナシンドローム	china|syndrome	CH_AY1_N_AH0|S_IH1_N_D_R_OW2_M
ダイヤモンドゲーム	diamond|game	D_AY1_M_AH0_N_D|G_EY1_M
チップセット	chip|set	CH_IH1_P|S_EH1_T
チップショット	chip|shot	CH_IH1_P|SH_AA1_T
チップボード	chipboard	CH_IH1_P_B_AO2_R_D
チョコレートブラウニー	chocolate|brownie	CH_AO1_K_L_AH0_T|B_R_AW1_N_IY0
チョコレートケーキ	chocolate|cake	CH_AO1_K_L_AH0_T|K_EY1_K
チョコレートフォンデュ	chocolate|fondue	CH_AO1_K_L_AH0_T|F_AA0_N_D_Y_UW1
チョコレートファウンテン	chocolate|fountain	CH_AO1_K_L_AH0_T|F_AW1_N_T_AH0_N
チョコレートパフェ	chocolate|parfait	CH_AO1_K_L_AH0_T|P_AA2_R_F_EY1
チョークコイル	choke|coil	CH_OW1_K|K_OY1_L
チャプスイ	chop|suey	CH_AA1_P|S_UW1_IY0
チョップサラダ	chop|salad	CH_AA1_P|S_AE1_L_AH0_D
チョップドサラダ	chopped|salad	CH_AA1_P_T|S_AE1_L_AH0_D
チョッピングツール	chopping|tool	CH_AA1_P_IH0_NG|T_UW1_L
コーラス	chorus	K_AO1_R_AH0_S
コーラスガール	chorus|girl	K_AO1_R_AH0_S|G_ER1_L
クリスチャンネーム	christian|name	K_R_IH1_S_CH_AH0_N|N_EY1_M
クリスチャンロック	christian|rock	K_R_IH1_S_CH_AH0_N|R_AA1_K
クリスチャンサイエンス	christian|science	K_R_IH1_S_CH_AH0_N|S_AY1_AH0_N_S
クリスマスケーキ	christmas|cake	K_R_IH1_S_M_AH0_S|K_EY1_K
クリスマスカード	christmas|card	K_R_IH1_S_M_AH0_S|K_AA1_R_D
クリスマスカロル	christmas|carol	K_R_IH1_S_M_AH0_S|K_AE1_R_AH0_L
クリスマスキャロル	christmas|carol	K_R_IH1_S_M_AH0_S|K_AE1_R_AH0_L
クリスマスイブ	christmas|eve	K_R_IH1_S_M_AH0_S|IY1_V
クリスマスイヴ	christmas|eve	K_R_IH1_S_M_AH0_S|IY1_V
クリスマスマーケット	christmas|market	K_R_IH1_S_M_AH0_S|M_AA1_R_K_AH0_T
クリスマスパーティ	christmas|party	K_R_IH1_S_M_AH0_S|P_AA1_R_T_IY0
クリスマスパーティー	christmas|party	K_R_IH1_S_M_AH0_S|P_AA1_R_T_IY0
クリスマスプレゼント	christmas|present	K_R_IH1_S_M_AH0_S|P_R_EH1_Z_AH0_N_T
クリスマスプディング	christmas|pudding	K_R_IH1_S_M_AH0_S|P_UH1_D_IH0_NG
クリスマスローズ	christmas|rose	K_R_IH1_S_M_AH0_S|R_OW1_Z
クリスマスソング	christmas|song	K_R_IH1_S_M_AH0_S|S_AO1_NG
クリスマスツリー	christmas|tree	K_R_IH1_S_M_AH0_S|T_R_IY1
クリスマスリース	christmas|wreath	K_R_IH1_S_M_AH0_S|R_IY1_TH
クロムグリーン	chrome|green	K_R_OW1_M|G_R_IY1_N
クロームイエロー	chrome|yellow	K_R_OW1_M|Y_EH1_L_OW0
クロムイエロー	chrome|yellow	K_R_OW1_M|Y_EH1_L_OW0
チャツネ	chutney	CH_AH1_T_N_IY0
チャトニ	chutney	CH_AH1_T_N_IY0
サイダー	cider	S_AY1_D_ER0
シガーバー	cigar|bar	S_IH0_G_AA1_R|B_AA1_R
シガーボックス	cigar|box	S_IH0_G_AA1_R|B_AA1_K_S
シガーライタ	cigar|lighter	S_IH0_G_AA1_R|L_AY1_T_ER0
シガーライター	cigar|lighter	S_IH0_G_AA1_R|L_AY1_T_ER0
シガレットケース	cigarette|case	S_IH2_G_AH0_R_EH1_T|K_EY1_S
シガレットホールダー	cigarette|holder	S_IH2_G_AH0_R_EH1_T|HH_OW1_L_D_ER0
シガレットライター	cigarette|lighter	S_IH2_G_AH0_R_EH1_T|L_AY1_T_ER0
シガーライターソケット	cigar|lighter|socket	S_IH0_G_AA1_R|L_AY1_T_ER0|S_AA1_K_AH0_T
シガレットパンツ	cigarette|pants	S_IH2_G_AH0_R_EH1_T|P_AE1_N_T_S
シンデレラボーイ	cinderella|boy	S_IH2_N_D_ER0_EH1_L_AH0|B_OY1
シンデレラコンプレックス	cinderella|complex	S_IH2_N_D_ER0_EH1_L_AH0|K_AA1_M_P_L_EH0_K_S
シンデレラガール	cinderella|girl	S_IH2_N_D_ER0_EH1_L_AH0|G_ER1_L
シネマコンプレックス	cinema|complex	S_IH1_N_AH0_M_AH0|K_AA1_M_P_L_EH0_K_S
シネマオルガン	cinema|organ	S_IH1_N_AH0_M_AH0|AO1_R_G_AH0_N
シナバー	cinnabar	S_IH1_N_AH0_B_AA2_R
シナモンロール	cinnamon|roll	S_IH1_N_AH0_M_AH0_N|R_OW1_L
サークル	circle	S_ER1_K_AH0_L
サークルレンズ	circle|lens	S_ER1_K_AH0_L|L_EH1_N_Z
サーキットブレーカー	circuit|breaker	S_ER1_K_AH0_T|B_R_EY1_K_ER0
サーキットエミュレーション	circuit|emulation	S_ER1_K_AH0_T|EH2_M_Y_AH0_L_EY1_SH_AH0_N
サーキットエミュレーションサービス	circuit|emulation|service	S_ER1_K_AH0_T|EH2_M_Y_AH0_L_EY1_SH_AH0_N|S_ER1_V_AH0_S
サーキットトレーニング	circuit|training	S_ER1_K_AH0_T|T_R_EY1_N_IH0_NG
サーキュラーピッチ	circular|pitch	S_ER1_K_Y_AH0_L_ER0|P_IH1_CH
サーキュラースカート	circular|skirt	S_ER1_K_Y_AH0_L_ER0|S_K_ER1_T
シティーエアターミナル	city|air|terminal	S_IH1_T_IY0|EH1_R|T_ER1_M_IH0_N_AH0_L
シティーブルース	city|blues	S_IH1_T_IY0|B_L_UW1_Z
シティーボーイ	city|boy	S_IH1_T_IY0|B_OY1
シティーギャル	city|gal	S_IH1_T_IY0|G_AE1_L
シティーガール	city|girl	S_IH1_T_IY0|G_ER1_L
シティガイド	city|guide	S_IH1_T_IY0|G_AY1_D
シティーホール	city|hall	S_IH1_T_IY0|HH_AO1_L
シティホテル	city|hotel	S_IH1_T_IY0|HH_OW0_T_EH1_L
シティモール	city|mall	S_IH1_T_IY0|M_AO1_L
シティーポップ	city|pop	S_IH1_T_IY0|P_AA1_P
シティポップ	city|pop	S_IH1_T_IY0|P_AA1_P
シティーポップス	city|pops	S_IH1_T_IY0|P_AA1_P_S
シビックセンター	civic|center	S_IH1_V_IH0_K|S_EH1_N_T_ER0
シビックトラスト	civic|trust	S_IH1_V_IH0_K|T_R_AH1_S_T
シビルミニマム	civil|minimum	S_IH1_V_AH0_L|M_IH1_N_AH0_M_AH0_M
シビリアンコントロール	civilian|control	S_AH0_V_IH1_L_Y_AH0_N|K_AH0_N_T_R_OW1_L
クレームトークン	claim|token	K_L_EY1_M|T_OW1_K_AH0_N
クラムチャウダー	clam|chowder	K_L_AE1_M|CH_AW1_D_ER0
クラスアクション	class|action	K_L_AE1_S|AE1_K_SH_AH0_N
クラスファクトリ	class|factory	K_L_AE1_S|F_AE1_K_T_ER0_IY0
クラスライブラリ	class|library	K_L_AE1_S|L_AY1_B_R_EH0_R_IY2
クラスマガジン	class|magazine	K_L_AE1_S|M_AE1_G_AH0_Z_IY2_N
クラスメディア	class|media	K_L_AE1_S|M_IY1_D_IY0_AH0
クラシックカー	classic|car	K_L_AE1_S_IH0_K|K_AA1_R
クラシックギター	classic|guitar	K_L_AE1_S_IH0_K|G_IH0_T_AA1_R
クラシックライフ	classic|life	K_L_AE1_S_IH0_K|L_AY1_F
クラシックレース	classic|race	K_L_AE1_S_IH0_K|R_EY1_S
クラシックロック	classic|rock	K_L_AE1_S_IH0_K|R_AA1_K
クラスメート	classmate	K_L_AE1_S_M_EY2_T
クラスメイト	classmate	K_L_AE1_S_M_EY2_T
クレイアニメ	clay|anime	K_L_EY1|AE2_N_IH0_M_EY1
クレイアニメーション	clay|animation	K_L_EY1|AE2_N_AH0_M_EY1_SH_AH0_N
クレーコート	clay|court	K_L_EY1|K_AO1_R_T
クレーピジョン	clay|pigeon	K_L_EY1|P_IH1_JH_AH0_N
クリーンビル	clean|bill	K_L_IY1_N|B_IH1_L
クリーンブート	clean|boot	K_L_IY1_N|B_UW1_T
クリーンブース	clean|booth	K_L_IY1_N|B_UW1_TH
クリーンエネルギー	clean|energy	K_L_IY1_N|EH1_N_ER0_JH_IY0
クリーンフロート	clean|float	K_L_IY1_N|F_L_OW1_T
クリーンヒーター	clean|heater	K_L_IY1_N|HH_IY1_T_ER0
クリーンヒット	clean|hit	K_L_IY1_N|HH_IH1_T
クリーンインストール	clean|install	K_L_IY1_N|IH2_N_S_T_AO1_L
クリーンローン	clean|loan	K_L_IY1_N|L_OW1_N
クリーンライス	clean|rice	K_L_IY1_N|R_AY1_S
クリーンルーム	clean|room	K_L_IY1_N|R_UW1_M
クリーナープロダクション	cleaner|production	K_L_IY1_N_ER0|P_R_AH0_D_AH1_K_SH_AH0_N
クレンジングクリーム	cleansing|cream	K_L_EH1_N_Z_IH0_NG|K_R_IY1_M
クレンジングフォーム	cleansing|foam	K_L_EH1_N_Z_IH0_NG|F_OW1_M
クレンジングジェル	cleansing|gel	K_L_EH1_N_Z_IH0_NG|JH_EH1_L
クレンジングローション	cleansing|lotion	K_L_EH1_N_Z_IH0_NG|L_OW1_SH_AH0_N
クレンジングミルク	cleansing|milk	K_L_EH1_N_Z_IH0_NG|M_IH1_L_K
クレンジングオイル	cleansing|oil	K_L_EH1_N_Z_IH0_NG|OY1_L
クリアエリア	clear|area	K_L_IH1_R|EH1_R_IY0_AH0
クリアバンド	clear|band	K_L_IH1_R|B_AE1_N_D
クリアファイル	clear|file	K_L_IH1_R|F_AY1_L
クリアキー	clear|key	K_L_IH1_R|K_IY1
クリアラッカー	clear|lacquer	K_L_IH1_R|L_AE1_K_ER0
クリアテキスト	clear|text	K_L_IH1_R|T_EH1_K_S_T
クリアビジョン	clear|vision	K_L_IH1_R|V_IH1_ZH_AH0_N
クリアランスセール	clearance|sale	K_L_IH1_R_AH0_N_S|S_EY1_L
クリアリングハウス	clearing|house	K_L_IH1_R_IH0_NG|HH_AW1_S
クレリックシャツ	cleric|shirts	K_L_EH1_R_IH0_K|SH_ER1_T_S
クリックアンドモルタル	click|and|mortar	K_L_IH1_K|AH0_N_D|M_AO1_R_T_ER0
クリックレート	click|rate	K_L_IH1_K|R_EY1_T
クリックベイト	clickbait	K_L_IH1_K_B_EY2_T
クライアントアクセスライセンス	client|access|license	K_L_AY1_AH0_N_T|AE1_K_S_EH2_S|L_AY1_S_AH0_N_S
クライアントアクセスポイント	client|access|point	K_L_AY1_AH0_N_T|AE1_K_S_EH2_S|P_OY1_N_T
クライアントハブ	client|hub	K_L_AY1_AH0_N_T|HH_AH1_B
クライアントスクリプト	client|script	K_L_AY1_AH0_N_T|S_K_R_IH1_P_T
クライアントサブスクリプション	client|subscription	K_L_AY1_AH0_N_T|S_AH0_B_S_K_R_IH1_P_SH_AH0_N
クリニカルパス	clinical|path	K_L_IH1_N_AH0_K_AH0_L|P_AE1_TH
クリップアート	clip|art	K_L_IH1_P|AA1_R_T
クリップコレクション	clip|collection	K_L_IH1_P|K_AH0_L_EH1_K_SH_AH0_N
クリップボードコンピュータ	clipboard|computer	K_L_IH1_P_B_AO2_R_D|K_AH0_M_P_Y_UW1_T_ER0
クリッパーチップ	clipper|chip	K_L_IH1_P_ER0|CH_IH1_P
クリッピングパス	clipping|path	K_L_IH1_P_IH0_NG|P_AE1_TH
クロックサイクル	clock|cycle	K_L_AA1_K|S_AY1_K_AH0_L
クロックパルス	clock|pulse	K_L_AA1_K|P_AH1_L_S
クロックレート	clock|rate	K_L_AA1_K|R_EY1_T
クロックスピード	clock|speed	K_L_AA1_K|S_P_IY1_D
クロックトラック	clock|track	K_L_AA1_K|T_R_AE1_K
クロックアップ	clock|up	K_L_AA1_K|AH1_P
クローンメーカ	clone|maker	K_L_OW1_N|M_EY1_K_ER0
クローズボックス	close|box	K_L_OW1_S|B_AA1_K_S
クロスゲーム	close|game	K_L_OW1_S|G_EY1_M
クロスプレー	close|play	K_L_OW1_S|P_L_EY1
クロスプレイ	close|play	K_L_OW1_S|P_L_EY1
クローズドアーキテクチャ	closed|architecture	K_L_OW1_Z_D|AA1_R_K_AH0_T_EH2_K_CH_ER0
クローズドサークル	closed|circle	K_L_OW1_Z_D|S_ER1_K_AH0_L
クローズドモーゲージ	closed|mortgage	K_L_OW1_Z_D|M_AO1_R_G_AH0_JH
クローズドポット	closed|pot	K_L_OW1_Z_D|P_AA1_T
クローズドショップ	closed|shop	K_L_OW1_Z_D|SH_AA1_P
クローズドスタンス	closed|stance	K_L_OW1_Z_D|S_T_AE1_N_S
クローズドシステム	closed|system	K_L_OW1_Z_D|S_IH1_S_T_AH0_M
クローズドユニオン	closed|union	K_L_OW1_Z_D|Y_UW1_N_Y_AH0_N
クロテッドクリーム	clotted|cream	K_L_AA1_T_AH0_D|K_R_IY1_M
クラウドコンピューティング	cloud|computing	K_L_AW1_D|K_AH0_M_P_Y_UW1_T_IH0_NG
クラウドサービス	cloud|service	K_L_AW1_D|S_ER1_V_AH0_S
クラウントビー	clown|toby	K_L_AW1_N|T_OW1_B_IY0
クラブフェース	club|face	K_L_AH1_B|F_EY1_S
クラブフロア	club|floor	K_L_AH1_B|F_L_AO1_R
クラブサンドイッチ	club|sandwich	K_L_AH1_B|S_AE1_N_D_W_IH0_CH
クラブチーム	club|team	K_L_AH1_B|T_IY1_M
クラスタアダプタ	cluster|adapter	K_L_AH1_S_T_ER0|AH0_D_AE1_P_T_ER0
クラスタサイズ	cluster|size	K_L_AH1_S_T_ER0|S_AY1_Z
クラッチバッグ	clutch|bag	K_L_AH1_CH|B_AE1_G
クラッチヒッター	clutch|hitter	K_L_AH1_CH|HH_IH1_T_ER0
シーモス	cmos	S_IY1_M_OW0_S
コーチボックス	coach|box	K_OW1_CH_IH0|B_AA1_K_S
コールカッター	coal|cutter	K_OW1_L|K_AH1_T_ER0
コールピック	coal|pick	K_OW1_L|P_IH1_K
コールタール	coal|tar	K_OW1_L|T_AA1_R
コースターブレーキ	coaster|brake	K_OW1_S_T_ER0|B_R_EY1_K
コートハンガー	coat|hanger	K_OW1_T|HH_AE1_NG_ER0
コーテッドレンズ	coated|lens	K_OW1_T_AH0_D|L_EH1_N_Z
