ア=ー=カ=イ=バ=ル=ファ=イ=ル	AA0=R=K_A=Y1=V_AH0=L=F_A=Y1=L
カ=ー=ド=デッ=ク	K_AA1=R=D=D_EH1=K
カ=ー=ド=プ=ロ=テ=ク=タ=ー	K_AA1=R=D=P=R_AH0=T_EH1=K=T_E=R0
カ=ー=ド=ホッ=パ	K_AA1=R=D=HH_AA1=P_E=R0
カ=ー=ド=リ=ー=ダ=ー	K_AA1=R=D=R_I=Y1=D_E=R0
カ=ー=ナ=ビ=ゲ=ー=ショ=ン	K_AA1=R=N_AE1=V_AH0=G_E=Y1=SH_AH0=N
カ=ー=ナ=ビ=ゲ=ー=ショ=ン=シ=ス=テ=ム	K_AA1=R=N_AE1=V_AH0=G_E=Y1=SH_AH0=N=S_IH1=S=T_AH0=M
カ=ー=ヒ=ー=タ=ー	K_AA1=R=HH_I=Y1=T_E=R0
カ=ー=ビ=ン=グ=ナ=イ=フ	K_AA1=R=V_IH0=N=G=N_A=Y1=F
カ=ー=フェ=リ=ー	K_AA1=R=F_EH1=R_I=Y0
カ=ー=ブ=フォ=ロ=ア	K_E=R1=V=F_AA1=L_O=W0=E=R0
カ=ー=ブ=マ=ー=ケッ=ト	K_E=R1=B=M_AA1=R=K_AH0=T
カ=ー=ボ=ベ=ル=デ	K_E=Y1=P=V_E=R1=D_I=Y0
カ=ー=ボ=ン=グ=ラ=ファ=イ=ト	K_AA1=R=B_AH0=N=G=R_AE1=F_A=Y2=T
カ=ー=ボ=ン=コ=ピ=ー	K_AA1=R=B_AH0=N=K_AA1=P_I=Y0
カ=ー=ボ=ン=デ=ー=ティ=ン=グ	K_AA1=R=B_AH0=N=D_E=Y1=T_IH0=N=G
カ=ー=ボ=ン=フッ=ト=プ=リ=ン=ト	K_AA1=R=B_AH0=N=F_UH1=T=P=R_IH2=N=T
カ=ー=ボ=ン=ブ=ラッ=ク	K_AA1=R=B_AH0=N=B=L_AE1=K
カ=ー=ボ=ン=マ=イ=ク=ロ=ホ=ン	K_AA1=R=B_AH0=N=M_A=Y1=K=R_AH0=F_O=W2=N
カ=ー=ボ=ン=リ=ボ=ン	K_AA1=R=B_AH0=N=R_IH1=B_AH0=N
カ=ー=ボ=ン=ロッ=ド	K_AA1=R=B_AH0=N=R_AA1=D
カ=ー=ボ=ヴェ=ル=デ	K_E=Y1=P=V_E=R1=D_I=Y0
カ=ー=マ=イ=ン=レッ=ド	K_AA1=R=M_A=Y2=N=R_EH1=D
カ=ー=ミ=ン	K_AA1=R=M_A=Y2=N
カ=ー=ラ=イ=フ	K_AA1=R=L_A=Y1=F
カ=ー=ラ=ジ=オ	K_AA1=R=R_E=Y1=D_I=Y0=O=W2
カ=ー=リ=ー=ス	K_AA1=R=L_I=Y1=S
カ=ー=レ=ー=サ=ー	R_E=Y1=S_IH0=N=G=D=R_A=Y1=V_E=R0
カ=ー=レ=ー=ス	K_AA1=R=R_E=Y1=S
カ=ー=ワッ=ク=ス	K_AA1=R=W_AE1=K=S
カ=イ=ザ=ー=ロ=ー=ル	K_A=Y1=Z_E=R0=R_O=W1=L
カ=イ=パ=ー=ベ=ル=ト	K_U=W1=P_E=R0=B_EH1=L=T
カ=ウ=ボ=ー=イ=ハッ=ト	K_A=W1=B_O=Y2=HH_AE1=T
カ=ウ=ボ=ー=イ=ブ=ー=ツ	K_A=W1=B_O=Y2=B_U=W1=T=S
カ=ウ=ン=タ=ー=ア=タッ=ク	K_A=W1=N=T_E=R0=AH0=T_AE1=K
カ=ウ=ン=タ=ー=テ=ー=ブ=ル	K_A=W1=N=T_E=R0=T_E=Y1=B_AH0=L
カ=ウ=ン=タ=ー=ディ=ス=プ=レ=ー	K_A=W1=N=T_E=R0=D_IH0=S=P=L_E=Y1
カ=ウ=ン=ト=ア=ウ=ト	K_A=W1=N=T=A=W1=T
カ=ウ=ン=ト=ダ=ウ=ン=パ=ー=ティ=ー	K_A=W1=N=T=D_A=W2=N=P_AA1=R=T_I=Y0
カ=オ=ス	K_E=Y1=AA0=S
カ=ク=テ=ル=グ=ラ=ス	K_AA1=K=T_E=Y2=L=G=L_AE1=S
カ=ク=テ=ル=ソ=ー=ス	K_AA1=K=T_E=Y2=L=S_AO1=S
カ=ク=テ=ル=ド=レ=ス	K_AA1=K=T_E=Y2=L=D=R_EH1=S
カ=ク=テ=ル=パ=ー=ティ	K_AA1=K=T_E=Y2=L=P_AA1=R=T_I=Y0
カ=ク=テ=ル=パ=ー=ティ=ー	K_AA1=K=T_E=Y2=L=P_AA1=R=T_I=Y0
カ=ク=テ=ル=ラ=ウ=ン=ジ	K_AA1=K=T_E=Y2=L=L_A=W1=N=JH
カ=シェ=ル	K_O=W1=SH_E=R0
カ=シ=ミ=ー=ル=カ=レ=ー	K_AE1=SH=M_IH0=R=K_AH1=R_I=Y0
カ=シュ=ー=アッ=プ=ル	K_AE1=SH_U=W2=AE1=P_AH0=L
カ=シュ=ー=ナッ=ツ	K_AE1=SH_U=W2=N_AH1=T=S
カ=ジ=ノ=ゲ=ー=ム	K_AH0=S_I=Y1=N_O=W0=G_E=Y1=M
カ=ジュ=ア=ル=ウ=エ=ア	K_AE1=ZH_AH0=W_AH0=L=W_EH1=R
カ=ジュ=ア=ル=ウォ=ー=タ=ー	K_AE1=ZH_AH0=W_AH0=L=W_AO1=T_E=R0
カ=ジュ=ア=ル=ルッ=ク	K_AE1=ZH_AH0=W_AH0=L=L_UH1=K
カ=ス=ケ=ー=ド=シャ=ワ=ー	K_AE0=S=K_E=Y1=D=SH_A=W1=E=R0
カ=ス=ケ=ー=ド=メ=ニュ=ー	K_AE0=S=K_E=Y1=D_IH0=N=G=M_EH1=N=Y_U=W0
カ=ス=タ=ー=ド=ク=リ=ー=ム	K_AH1=S=T_E=R0=D=K=R_I=Y1=M
カ=ス=タ=ー=ド=プ=ディ=ン=グ	K_AH1=S=T_E=R0=D=P_UH1=D_IH0=N=G
カ=ス=タ=ー=ド=プ=リ=ン	K_AH1=S=T_E=R0=D=P_UH1=D_IH0=N=G
カ=ス=タ=マ=ー=サ=ー=ビ=ス	K_AH1=S=T_AH0=M_E=R0=S_E=R1=V_AH0=S
カ=ス=タ=マ=ー=サ=ポ=ー=ト	K_AH1=S=T_AH0=M_E=R0=S_AH0=P_AO1=R=T
カ=ス=タ=マ=ー=マ=ニュ=ア=ル	K_AH1=S=T_AH0=M_E=R0=M_AE1=N=Y_U=W0=AH0=L
カ=ス=タ=マ=サ=ー=ビ=ス	K_AH1=S=T_AH0=M_E=R0=S_E=R1=V_AH0=S
カ=ス=タ=ム=ア=ダ=プ=タ	K_AH1=S=T_AH0=M=AH0=D_AE1=P=T_E=R0
カ=ス=タ=ム=コ=ン=ト=ロ=ー=ル	K_AH1=S=T_AH0=M=K_AH0=N=T=R_O=W1=L
カ=ス=タ=ム=ソ=フ=ト=ウェ=ア	K_AH1=S=T_AH0=M=S_AO1=F=T=W_EH2=R
カ=ス=タ=ム=ダ=イ=ア=ロ=グ=ボッ=ク=ス	K_AH1=S=T_AH0=M=D_A=Y1=AH0=L_AO0=G=B_AA1=K=S
カ=ス=タ=ム=パ=レッ=ト	K_AH1=S=T_AH0=M=P_AE1=L_AH0=T
カ=ス=タ=ム=プ=ロ=パ=ティ	K_AH1=S=T_AH0=M=P=R_AA1=P_E=R0=T_I=Y0
カ=ス=タ=ム=プ=ロ=パ=ティ=ダ=イ=ア=ロ=グ=ボッ=ク=ス	K_AH1=S=T_AH0=M=P=R_AA1=P_E=R0=T_I=Y0=Z=D_A=Y1=AH0=L_AO0=G=B_AA1=K=S
カ=ス=タ=ム=プ=ロ=ファ=イ=ル	K_AH1=S=T_AH0=M=P=R_O=W1=F_A=Y2=L
カ=セッ=ト=テ=ー=プ	K_AH0=S_EH1=T=T_E=Y1=P
カ=セッ=ト=テ=ー=プ=レ=コ=ー=ダ=ー	K_AH0=S_EH1=T=T_E=Y1=P=R_IH0=K_AO1=R=D_E=R0
カ=セッ=ト=デッ=キ	K_AH0=S_EH1=T=D_EH1=K
カ=セッ=ト=ブッ=ク	K_AH0=S_EH1=T=B_UH1=K
カ=セッ=ト=レ=コ=ー=ダ=ー	K_AH0=S_EH1=T=R_IH0=K_AO1=R=D_E=R0
カ=セ=ド=ラ=ル	K_AH0=TH_I=Y1=D=R_AH0=L
カ=ゼ=イ=ン	K_E=Y0=S_I=Y1=N
カ=タ=コ=ン=ブ	K_AE1=T_AH0=K_O=W2=M
カ=タ=ル=シ=ス	K_AH0=TH_AA1=R=S_AH0=S
カ=タ=ロ=グ=セッ=ト	K_AE1=T_AH0=L_AO0=G=S_EH1=T
カ=タ=ロ=グ=プ=ロ=パ=ティ	K_AE1=T_AH0=L_AO0=G=P=R_AA1=P_E=R0=T_I=Y0
カッ=タ=ー=シュ=ー=ズ	K_AH1=T_E=R0=SH_U=W1=Z
カッ=テ=ー=ジ=チ=ー=ズ	K_AA1=T_AH0=JH=CH_I=Y1=Z
カッ=ティ=ン=グ=ボ=ー=ド	K_AH1=T_IH0=N=G=B_AO1=R=D
カッ=ト=グ=ラ=ス	K_AH1=T=G=L_AE1=S
カッ=ト=シ=ー=ト	K_AH1=T=SH_I=Y1=T
カッ=ト=ス=テ=ー=キ	S=L_A=Y1=S=T=S=T_E=Y1=K
カッ=ト=ス=テッ=プ	K_AH1=T=S=T_EH1=P
カッ=ト=ト=マ=ト	K_AH1=T=T_AH0=M_E=Y1=T_O=W2
カッ=ト=バッ=ファ	K_AH1=T=B_AH1=F_E=R0
カッ=ト=フィ=ル=ム	K_AH1=T=F_IH1=L=M
カッ=プ=リ=ン=グ=シュ=ガ=ー	K_AH1=P=L_IH0=N=G=SH_UH1=G_E=R0
カ=テ=ー=ジ=チ=ー=ズ	K_AA1=T_AH0=JH=CH_I=Y1=Z
カ=テ=ー=テ=ル	K_AE1=TH_AH0=T_E=R0
カ=テ=ゴ=リ	K_AE1=T_AH0=G_AO2=R_I=Y0
カ=テ=ゴ=リ=ー	K_AE1=T_AH0=G_AO2=R_I=Y0
カ=テ=ゴ=リ=ー=キ=ラ=ー	K_AE1=T_AH0=G_AO2=R_I=Y0=K_IH1=L_E=R0
カ=テ=ゴ=リ=ー=ミ=ス=テ=ー=ク	K_AE1=T_AH0=G_AO2=R_I=Y0=M_IH0=S=T_E=Y1=K
カ=テ=ゴ=リィ	K_AE1=T_AH0=G_AO2=R_I=Y0
カ=テ=ゴ=リ=プ=ロ=パ=ティ	K_AE1=T_AH0=G_AO2=R_I=Y0=P=R_AA1=P_E=R0=T_I=Y0
カ=テ=ド=ラ=ル	K_AH0=TH_I=Y1=D=R_AH0=L
カ=デ=ン=ツ	K_E=Y1=D_AH0=N=S
カ=ド=ミ=ウ=ム=イ=エ=ロ=ー	K_AE1=D=M_I=Y0=AH0=M=Y_EH1=L_O=W0
カ=ド=ミ=ウ=ム=オ=レ=ン=ジ	K_AE1=D=M_I=Y0=AH0=M=AO1=R_IH0=N=JH
カ=ド=ミ=ウ=ム=レッ=ド	K_AE1=D=M_I=Y0=AH0=M=R_EH1=D
カ=ナ=ダ=デ=ー	K_AE1=N_AH0=D_AH0=D_E=Y1
カ=ナ=ダ=バ=ル=サ=ム	K_AE1=N_AH0=D_AH0=B_AO1=L=S_AH0=M
カ=ナ=ディ=ア=ン=ウ=イ=ス=キ=ー	K_AH0=N_E=Y1=D_I=Y0=AH0=N=W_IH1=S=K_I=Y0
カ=ナ=ディ=ア=ン=カ=ヌ=ー	K_AH0=N_E=Y1=D_I=Y0=AH0=N=K_AH0=N_U=W1
カ=ナ=ディ=ア=ン=フッ=ト=ボ=ー=ル	K_AH0=N_E=Y1=D_I=Y0=AH0=N=F_UH1=T=B_AO2=L
カ=ナ=ディ=ア=ン=ベ=ー=コ=ン	K_AH0=N_E=Y1=D_I=Y0=AH0=N=B_E=Y1=K_AH0=N
カ=バ=ー=エ=リ=ア	K_AH1=V_E=R0=AH0=JH=EH1=R_I=Y0=AH0
カ=バ=ー=ガ=ー=ル	K_AH1=V_E=R0=G_E=R1=L
カ=バ=ー=ガ=ラ=ス	K_AH1=V_E=R0=G=L_AE1=S
カ=バ=ー=グ=ラ=ス	K_AH1=V_E=R0=G=L_AE1=S
カ=バ=ー=チャ=ー=ジ	K_AH1=V_E=R0=CH_AA1=R=JH
カ=バ=ー=ド=ワ=ラ=ン=ト	K_AH1=V_E=R0=D=W_AO1=R_AH0=N=T
カ=バ=ー=バ=ー=ジョ=ン	K_AH1=V_E=R0=V_E=R1=ZH_AH0=N
カ=バ=ブ	K_AH0=B_AA1=B
カ=フェ=イ=ン	K_AE0=F_I=Y1=N
カ=フェ=オ=ー=レ	K_AH0=F_E=Y1=O=W1=L_E=Y1
カ=フェ=オ=レ	K_AH0=F_E=Y1=O=W1=L_E=Y1
カ=フェ=カ=ー=テ=ン	K_AH0=F_E=Y1=K_E=R1=T_AH0=N
カ=フェ=キャ=バ	K_AH0=F_E=Y1=K_AE2=B_E=R0=E=Y1
カ=フェ=テ=リ=ア=プ=ラ=ン	K_AE2=F_AH0=T_IH1=R_I=Y0=AH0=P=L_AE1=N
カ=フェ=ナ=ポ=リ=タ=ー=ノ	K_AH0=F_E=Y1=N_I=Y2=AH0=P_AA1=L_AH0=T_AH0=N
カ=フェ=バ=ー	K_AH0=F_E=Y1=B_AA1=R
カ=プ=セ=ル	K_AE1=P=S_AH0=L
カ=プ=セ=ル=ホ=テ=ル	K_AE1=P=S_AH0=L=HH_O=W0=T_EH1=L
カ=ベ=ル=ネ=ソ=ー=ビ=ニ=ヨ=ン	K_AE2=B_E=R0=N_E=Y1=S_AO2=V_IH1=N=Y_AA0=N
カ=ベ=ル=ネ=フ=ラ=ン	K_AE2=B_E=R0=N_E=Y1=F=R_AE1=N=G=K
カ=ボ=ベ=ル=デ	K_E=Y1=P=V_E=R1=D_I=Y0
カ=ボ=ヴェ=ル=デ	K_E=Y1=P=V_E=R1=D_I=Y0
カ=ミ=ン=グ=ア=ウ=ト	K_AH1=M_IH0=N=G=A=W1=T
カ=ミ=ン=グ=ス=ー=ン	K_AH1=M_IH0=N=G=S_U=W1=N
カ=ム=ア=ウ=ト	K_AH1=M_IH0=N=G=A=W1=T
カ=メ=ラ=ア=ン=グ=ル	K_AE1=M_E=R0=AH0=AE1=N=G=G_AH0=L
カ=メ=ラ=ポ=ジ=ショ=ン	K_AE1=M_E=R0=AH0=P_AH0=Z_IH1=SH_AH0=N
カ=メ=ラ=リ=ハ=ー=サ=ル	K_AE1=M_E=R0=AH0=R_IH0=HH_E=R1=S_AH0=L
カ=メ=ラ=ワ=ー=ク	K_AE1=M_E=R0=AH0=W_E=R1=K
カ=ラ=ー=ア=ナ=リ=ス=ト	K_AH1=L_E=R0=AE1=N_AH0=L_IH0=S=T
カ=ラ=ー=イ=メ=ー=ジ	K_AH1=L_E=R0=IH1=M_AH0=JH
カ=ラ=ー=イ=メ=ー=ジ=ス=キャ=ナ	K_AH1=L_E=R0=IH1=M_AH0=JH=S=K_AE1=N_E=R0
カ=ラ=ー=ギャ=ン=グ	K_AH1=L_E=R0=G_AE1=N=G
カ=ラ=ー=グ=ラ=フィッ=ク=ス	K_AH1=L_E=R0=G=R_AE1=F_IH0=K=S
カ=ラ=ー=コ=ー=ディ=ネ=ー=ショ=ン	K_AH1=L_E=R0=K_O=W0=AO2=R=D_AH0=N_E=Y1=SH_AH0=N
カ=ラ=ー=コ=ー=ディ=ネ=ー=ト	K_AH1=L_E=R0=K_O=W0=AO2=R=D_AH0=N_E=Y1=SH_AH0=N
カ=ラ=ー=コ=ー=ド	K_AH1=L_E=R0=K_O=W1=D
カ=ラ=ー=サ=ー=ク=ル	K_AH1=L_E=R0=S_E=R1=K_AH0=L
カ=ラ=ー=ス=キャ=ナ=ー	K_AH1=L_E=R0=S=K_AE1=N_E=R0
カ=ラ=ー=ス=ケ=ー=ル	K_AH1=L_E=R0=S=K_E=Y1=L
カ=ラ=ー=ス=ト=ー=ン	JH_EH1=M=S=T_O=W2=N=Z
カ=ラ=ー=セ=パ=レ=ー=ショ=ン	K_AH1=L_E=R0=S_EH2=P_E=R0=E=Y1=SH_AH0=N
カ=ラ=ー=チッ=プ	K_AA1=L_E=R0=T_IH1=P
カ=ラ=ー=チャ=ー=ト	K_AH1=L_E=R0=CH_AA1=R=T
カ=ラ=ー=パ=レッ=ト	K_AH1=L_E=R0=P_AE1=L_AH0=T
カ=ラ=ー=ビッ=ト	K_AH1=L_E=R0=B_IH1=T=S
カ=ラ=ー=フィ=ル=ム	K_AH1=L_E=R0=F_IH1=L=M
カ=ラ=ー=プ=リ=ン=タ	K_AH1=L_E=R0=P=R_IH1=N=T_E=R0
カ=ラ=ー=プ=リ=ン=ト	K_AH1=L_E=R0=P=R_IH1=N=T
カ=ラ=ー=マ=ネ=ジ=メ=ン=ト=シ=ス=テ=ム	K_AH1=L_E=R0=M_AE1=N_AH0=JH=M_AH0=N=T=S_IH1=S=T_AH0=M
カ=ラ=ー=リ=バ=ー=サ=ル=フィ=ル=ム	K_AH1=L_E=R0=R_IH0=V_E=R1=S_AH0=L=F_IH1=L=M
カ=ラ=オ=ケ	K_EH2=R_I=Y0=O=W1=K_I=Y0
カ=ラ=オ=ケ=バ=ー	K_EH2=R_I=Y0=O=W1=K_I=Y0=B_AA1=R
カ=ラ=テ=チョッ=プ	K_E=R0=AA1=T_I=Y0=CH_AA1=P
カ=ラ=ム=チャ=ー=ト	K_AA1=L_AH0=M=CH_AA1=R=T
カ=ラ=メ=ル=ソ=ー=ス	K_EH1=R_AH0=M_AH0=L=S_AO1=S
カ=リ=ビ=ア=ン=リ=ー=フ=シャ=ー=ク	K_EH0=R_IH1=B_I=Y2=AH0=N=R_I=Y1=F=SH_AA1=R=K
カ=リ=フォ=ル=ニ=ア=コ=ン=ド=ル	K_AE2=L_AH0=F_AO1=R=N=Y_AH0=K_AA1=N=D_E=R0
カ=リ=フォ=ル=ニ=ア=ロ=ー=ル	K_AE2=L_AH0=F_AO1=R=N=Y_AH0=R_O=W1=L
カ=ル=シ=ウ=ム=バッ=テ=リ=ー	K_AE1=L=S_I=Y0=AH0=M=B_AE1=T_E=R0=I=Y0
カ=ル=チャ=ー=ギャッ=プ	K_AH1=L=CH_E=R0=G_AE1=P
カ=ル=チャ=ー=ショッ=ク	K_AH1=L=CH_E=R0=SH_AA1=K
カ=ル=チュ=ラ=ル=ス=タ=ディ=ー=ズ	K_AH1=L=CH_E=R0=AH0=L=S=T_AH1=D_I=Y0=Z
カ=ル=テッ=ト	K=W_AO0=R=T_EH1=T
カ=ル=テ=ル	K_AA0=R=T_EH1=L
カ=ル=マ=ン=フィ=ル=タ=ー	K_AE1=L=M_AH0=N=F_IH1=L=T_E=R0
カ=ル=ミ=ン	K_AA1=R=M_A=Y2=N
カ=レ=ー=コ=ー=ナ=ー	K_AH1=R_I=Y0=K_AO1=R=N_E=R0
カ=レ=ー=シ=チュ=ー	K_AH1=R_I=Y0=AH0=N=D=R_A=Y1=S
カ=レ=ー=ソ=ー=ス	K_AH1=R_I=Y0=S_AO1=S
カ=レ=ー=パ=ウ=ダ=ー	K_AH1=R_I=Y0=P_A=W1=D_E=R0
カ=レ=ー=ル=ー	K_AH1=R_I=Y0=R_U=W1
カ=レッ=ジ=リ=ン=グ	K_AA1=L_IH0=JH=R_IH1=N=G
カ=レッ=ジ=レ=ベ=ル	K_AA1=L_IH0=JH=L_EH1=V_AH0=L
カ=レ=ン=ダ=ー=プ=ロ=グ=ラ=ム	K_AE1=L_AH0=N=D_E=R0=P=R_O=W1=G=R_AE2=M
カ=レ=ン=ダ=ク=ロッ=ク	K_AE1=L_AH0=N=D_E=R0=K=L_AA1=K
カ=レ=ン=ト=イ=ン=グ=リッ=シュ	K_E=R1=AH0=N=T=IH1=N=G=G=L_IH0=SH
カ=レ=ン=ト=ディ=レ=ク=ト=リ	K_E=R1=AH0=N=T=D_E=R0=EH1=K=T_E=R0=I=Y0
カ=レ=ン=ト=ト=ラ=ン=ザ=ク=ショ=ン	K_E=R1=AH0=N=T=T=R_AE0=N=Z_AE1=K=SH_AH0=N
カ=レ=ン=ト=ド=ラ=イ=ブ	K_E=R1=AH0=N=T=D=R_A=Y1=V
カ=レ=ン=ト=ド=レ=イ=ン	K_E=R1=AH0=N=T=D=R_E=Y1=N
カ=レ=ン=ト=ニュ=ー=ス	K_E=R1=AH0=N=T=N_U=W1=Z
カ=レ=ン=ト=プ=ラ=イ=ス	K_E=R1=AH0=N=T=P=R_A=Y1=S
カ=レ=ン=ト=レ=コ=ー=ド	K_E=R1=AH0=N=T=R_AH0=K_AO1=R=D
カ=ン=ト=リ=ー=ア=ン=ド=ウェ=ス=タ=ン	K_AH1=N=T=R_I=Y0=AH0=N=D=W_EH1=S=T_E=R0=N
カ=ン=ト=リ=ー=ア=ン=ド=ウ=エ=ス=タ=ン	K_AH1=N=T=R_I=Y0=AH0=N=D=W_EH1=S=T_E=R0=N
カ=ン=ト=リ=ー=ウ=エ=ア	K_AH1=N=T=R_I=Y0=W_EH1=R
カ=ン=ト=リ=ー=ウ=オ=ー=ク	K_AH1=N=T=R_I=Y0=W_AO1=K
カ=ン=ト=リ=ー=エ=レ=ベ=ー=タ=ー	K_AH1=N=T=R_I=Y0=EH1=L_AH0=V_E=Y2=T_E=R0
カ=ン=ト=リ=ー=ク=ラ=ブ	K_AH1=N=T=R_I=Y0=K=L_AH1=B
カ=ン=ト=リ=ー=ス=ク=ー=ル	K_AH1=N=T=R_I=Y0=S=K_U=W1=L
カ=ン=ト=リ=ー=ブ=ル=ー=ス	K_AH1=N=T=R_I=Y0=B=L_U=W1=Z
カ=ン=ト=リ=ー=ミュ=ー=ジッ=ク	K_AH1=N=T=R_I=Y0=M=Y_U=W1=Z_IH0=K
カ=ン=ト=リ=ー=ロッ=ク	K_AH1=N=T=R_I=Y0=R_AA1=K
カ=ン=ト=リ=コ=ー=ド	K_AH1=N=T=R_I=Y0=K_O=W1=D
カ=ン=パ=ニ=ー=エ=コ=ノ=ミ=ス=ト	K_AH1=M=P_AH0=N_I=Y2=IH0=K_AA1=N_AH0=M_IH0=S=T
カ=ン=パ=ニ=ー=マ=ガ=ジ=ン	K_AH1=M=P_AH0=N_I=Y2=M_AE1=G_AH0=Z_I=Y2=N
カ=ン=パ=ニ=ー=ユ=ニ=オ=ン	K_AH1=M=P_AH0=N_I=Y2=Y_U=W1=N=Y_AH0=N
カ=ン=パ=ニ=ア	K_AE0=M=P_E=Y1=N
ガ=ー=タ=ー=ス=ネ=ー=ク	G_AA1=R=T_E=R0=S=N_E=Y1=K
ガ=ー=デ=ン=ク=レ=ス	G_AA1=R=D_AH0=N=K=R_EH1=S
ガ=ー=デ=ン=ト=ラ=ク=タ=ー	G_AA1=R=D_AH0=N=T=R_AE1=K=T_E=R0
ガ=ー=デ=ン=ハ=ウ=ス	G_AA1=R=D_AH0=N=HH_A=W1=S
ガ=ー=デ=ン=パ=ー=ティ=ー	G_AA1=R=D_AH0=N=P_AA1=R=T_I=Y0
ガ=ー=ド=ケ=ー=ブ=ル	G_AA1=R=D=K_E=Y1=B_AH0=L
ガ=ー=ド=バ=ン=カ=ー	G_AA1=R=D=B_AH1=N=G=K_E=R0
ガ=ー=ド=バ=ン=ド	G_AA1=R=D=B_AE1=N=D
ガ=ー=ド=マ=ン	G_AA1=R=D=M_AE1=N
ガ=ー=ベ=ジ=コ=レ=ク=ショ=ン	G_AA1=R=B_IH0=JH=K_AH0=L_EH1=K=SH_AH0=N
ガ=ー=リッ=ク=ソ=ル=ト	G_AA1=R=L_IH0=K=S_AO1=L=T
ガ=ー=ル=ス=カ=ウ=ト	G_E=R1=L=S=K_A=W1=T=S
ガ=ー=ル=ズ=グ=ル=ー=プ	G_E=R1=L=G=R_U=W1=P
ガ=ー=ル=ズ=ト=ー=ク	G_E=R1=L=Z=T_AO1=K
ガ=ー=ル=ズ=ラ=ブ	G_E=R1=L=Z=L_AH1=V
ガ=イ=ガ=ー=カ=ウ=ン=タ=ー	G_A=Y1=G_E=R0=K_A=W1=N=T_E=R0
ガ=イ=ド=ツ=ア=ー	G_A=Y1=D_AH0=D=T_UH1=R
ガ=イ=ド=ナ=ン=バ=ー	G_A=Y1=D=N_AH1=M=B_E=R0
ガ=イ=ド=ピ=ン	G_A=Y1=D=P_IH1=N
ガ=イ=ド=メ=ロ=ディ	G_A=Y1=D=M_EH1=L_AH0=D_I=Y0
ガ=ウ=チョ=ハッ=ト	G_A=W1=CH_O=W0=HH_AE1=T
ガ=ウ=チョ=パ=ン=ツ	G_A=W1=CH_O=W0=P_AE1=N=T=S
ガ=ウ=チョ=ルッ=ク	G_A=W1=CH_O=W0=L_UH1=K
ガ=ウ=ン=テ=ク=ニッ=ク	G_A=W1=N=T_EH0=K=N_I=Y1=K
ガ=ジェッ=ト=バッ=グ	G_AE1=JH_AH0=T=B_AE1=G
ガ=ス=エ=ン=ジ=ン	G_AE1=S=EH1=N=JH_AH0=N
ガ=ス=ク=ロ=マ=ト=グ=ラ=フィ=ー	G_AE1=S=K=R_O=W0=M_AH0=T_AA1=G=R_AH0=F_I=Y0
ガ=ス=ジャ=イ=ア=ン=ト	G_AE1=S=JH_A=Y1=AH0=N=T
ガ=ス=ス=テ=ー=ショ=ン	G_AE1=S=S=T_E=Y1=SH_AH0=N
ガ=ス=タ=ー=ビ=ン	G_AE1=S=T_E=R1=B_A=Y0=N
ガ=ス=パ=イ=プ	G_AE1=S=P_A=Y1=P
ガ=ス=パ=イ=プ=ラ=イ=ン	G_AE1=S=P_A=Y1=P=L_A=Y2=N
ガ=ス=ボ=イ=ラ=ー	G_AE1=S=B_O=Y1=L_E=R0
ガ=ス=マ=ス=ク	G_AE1=S=M_AE1=S=K
ガ=ス=マ=ン=ト=ル	G_AE1=S=M_AE1=N=T_AH0=L
ガ=ス=メ=ー=タ=ー	G_AE1=S=M_I=Y1=T_E=R0
ガ=ス=ラ=イ=タ=ー	G_AE1=S=L_A=Y1=T_E=R0
ガ=ス=ラ=ン=プ	G_AE1=S=L_AE1=M=P
ガ=ス=レ=ー=ザ	G_AE1=S=L_E=Y1=Z_E=R0
ガ=ス=レ=ー=ザ=ー	G_AE1=S=L_E=Y1=Z_E=R0
ガ=ゼッ=ト=バッ=ク	G_AE1=JH_AH0=T=B_AE1=G
ガ=ゼッ=ト=バッ=グ	G_AE1=JH_AH0=T=B_AE1=G
ガッ=ト=ギ=タ=ー	G_AH1=T=G_IH0=T_AA1=R
ガ=ベ=ー=ジ=コ=レ=ク=ショ=ン	G_AA1=R=B_IH0=JH=K_AH0=L_EH1=K=SH_AH0=N
ガ=ラ=コ=ン=サ=ー=ト	G_AE1=L_AH0=K_AA1=N=S_E=R0=T
ガ=ラ=サ	G=R_E=Y1=S
ガ=ラ=ス=ウ=ー=ル	G=L_AE1=S=W_UH1=L
ガ=ラ=ス=ブ=ロッ=ク	G=L_AE1=S=B=L_AA1=K
ガ=ラ=ディ=ナ=ー	G_AE1=L_AH0=D_IH1=N_E=R0
ガ=ル=ウ=イ=ン=グ	G_AH1=L=W_IH1=N=G
ガ=レ=ー=ジ=セ=ー=ル	G_E=R0=AA1=ZH=S_E=Y1=L
ガ=ン=ト=チャ=ー=ト	G_AE1=N=T=CH_AA1=R=T
キ=ー=ア=サ=イ=ン	K_I=Y1=AH0=S_A=Y1=N
キ=ー=イ=ン	K_I=Y1=IH0=N
キ=ー=イ=ン=ダ=ス=ト=リ=ー	K_I=Y1=IH1=N=D_AH0=S=T=R_I=Y0
キ=ー=エ=ス=ク=ロ=ー	K_I=Y1=EH0=S=K=R_O=W1
キ=ー=カ=ス=タ=マ=イ=ズ	K_I=Y1=K_AH1=S=T_AH0=M_A=Y2=Z
